"SoilType"	"Batch"	"dpi"	"Variety"	"SeqRegion"	"seqCompartment"	"replicate"	"Project"	"groups"	"Observed"	"Chao1"	"se.chao1"	"ACE"	"se.ACE"	"Shannon"	"Simpson"	"InvSimpson"	"Fisher"	"stat"	"y"
"o1_xgl_soil_2"	"Organic"	1	14	"MH63"	"V5toV7"	"Rhizo"	2	1	"OrganicRhizo"	449	451.8	2.82923603439008	450.867851616681	9.82962502146434	4.21422352686321	0.925187040445489	13.3666681007503	74.0323075226128	"b"	4.66851075135614
"o1_xgl_soil_3"	"Organic"	1	14	"MH63"	"V5toV7"	"Rhizo"	3	1	"OrganicRhizo"	553	563.461538461538	6.75388879977092	557.289058159018	11.1651006967549	4.25939840674618	0.922823932640403	12.9573847724134	95.0956439609785	"b"	4.66851075135614
"o2_xgl_soil_1"	"Organic"	2	14	"MH63"	"V5toV7"	"Rhizo"	1	1	"OrganicRhizo"	770	793.820895522388	8.52626249214597	791.800440505552	13.7670354435072	4.31021796107321	0.918274623602558	12.2361014911312	142.218827122324	"b"	4.66851075135614
"o2_xgl_soil_2"	"Organic"	2	14	"MH63"	"V5toV7"	"Rhizo"	2	1	"OrganicRhizo"	586	596.2	4.96694591877595	599.257995190268	12.0696226543765	4.41198589417272	0.950834519093692	20.3394735811828	101.995112601717	"b"	4.66851075135614
"o2_xgl_soil_3"	"Organic"	2	14	"MH63"	"V5toV7"	"Rhizo"	3	1	"OrganicRhizo"	414	417	2.8639462720869	415.68378009585	9.90714641999548	3.41377842584503	0.84773705029647	6.56758588971969	67.1893497507394	"b"	4.66851075135614
"o1_xgl_root_1"	"Organic"	1	14	"MH63"	"V5toV7"	"Root"	1	1	"OrganicRoot"	128	129.25	1.7324057479156	129.465781147272	5.62745829276377	1.94791874583157	0.70879208235936	3.43397256538207	16.9869807529204	"d"	2.94249857760874
"o1_xgl_root_2"	"Organic"	1	14	"MH63"	"V5toV7"	"Root"	2	1	"OrganicRoot"	102	106.666666666667	4.49130246582282	105.105146377679	5.06306721842478	1.15079022183779	0.419013765671618	1.72121117664	13.0833536695277	"d"	2.94249857760874
"o1_xgl_root_3"	"Organic"	1	14	"MH63"	"V5toV7"	"Root"	3	1	"OrganicRoot"	216	216.083333333333	0.33922867573528	216.498228308034	7.20468032226286	2.6291699468045	0.767435478528114	4.29988200122299	31.1758908463605	"d"	2.94249857760874
"o2_xgl_root_1"	"Organic"	2	14	"MH63"	"V5toV7"	"Root"	1	1	"OrganicRoot"	165	165.789473684211	1.15025255569985	167.302692461282	6.40893077488925	1.7471530482535	0.659866947107979	2.94002594425148	22.7846230347674	"d"	2.94249857760874
"o2_xgl_root_2"	"Organic"	2	14	"MH63"	"V5toV7"	"Root"	2	1	"OrganicRoot"	210	220.461538461538	6.75345390165234	217.573614117642	7.23240823542479	2.68597372042532	0.861283152024588	7.20892966207865	30.166765065061	"d"	2.94249857760874
