"","Df","SumOfSqs","R2","F","Pr..F."
"seqCompartment",2,4.00827140247456,0.418039897192504,11.1525012245346,1e-04
"SoilType",1,1.17460938516279,0.122505074459693,6.53640000439616,1e-04
"Batch",1,0.451908461007493,0.0471314807833036,2.51475469532935,0.0132
"Residual",22,3.95346160825551,0.4123235475645,NA,NA
"Total",26,9.58825085690035,1,NA,NA
"SoilType1",2,3.39742354918882,0.354331942279525,9.45289539755199,1e-04
"seqCompartment1",1,1.78545723844853,0.186213029372672,9.9356116583614,1e-04
"Batch1",1,0.451908461007494,0.0471314807833037,2.51475469532935,0.013
"Residual1",22,3.95346160825551,0.4123235475645,NA,NA
"Total1",26,9.58825085690035,1,NA,NA
