"","XF_mean","organic_soil_mean","loam_soil_mean","organic_root_mean","loam_root_mean","Phylum"
"ASV_1",7,515.6,995.6,7719.66666666667,13072.1666666667,"Gammaproteobacteria"
"ASV_2",67.8,16,168.8,4702.5,2791.66666666667,"Gammaproteobacteria"
"ASV_3",2.4,3409.6,91,3910.16666666667,122.666666666667,"Gammaproteobacteria"
"ASV_4",35.6,3009,6512.2,19.5,45.3333333333333,"Bacteroidetes"
"ASV_5",2.6,2065.6,442.8,1592.16666666667,1226.83333333333,"Gammaproteobacteria"
"ASV_6",0,1278.4,5.8,2948.33333333333,31.6666666666667,"Gammaproteobacteria"
"ASV_7",6.6,997,45.8,1962.66666666667,222.166666666667,"Gammaproteobacteria"
"ASV_8",0,37.6,2.6,2265.83333333333,8.83333333333333,"Gammaproteobacteria"
"ASV_9",10.6,56.4,99.2,52.8333333333333,1607.33333333333,"Gammaproteobacteria"
"ASV_10",13.2,157.6,196.2,159.5,1206.5,"Gammaproteobacteria"
"ASV_11",1655.4,0,5.4,0,0.833333333333333,"Gammaproteobacteria"
"ASV_12",1.8,167.4,196.8,145,824.333333333333,"Gammaproteobacteria"
"ASV_13",0,1133.6,47,1.16666666666667,0.666666666666667,"Alphaproteobacteria"
"ASV_14",19.8,6,1253.2,3.83333333333333,12.3333333333333,"Gammaproteobacteria"
"ASV_15",17.2,7.6,1089.2,0.5,25.3333333333333,"Gammaproteobacteria"
"ASV_16",0,63.8,373,0,647.333333333333,"Gammaproteobacteria"
"ASV_17",1003.8,44,9,32.1666666666667,7.16666666666667,"Gammaproteobacteria"
"ASV_18",0.8,557,74.8,130.5,16,"Gammaproteobacteria"
"ASV_19",0,0,43.2,0,561.833333333333,"Gammaproteobacteria"
"ASV_20",87,0,37,3.33333333333333,478.5,"Gammaproteobacteria"
"ASV_21",0,279.6,0,547.666666666667,1.5,"Alphaproteobacteria"
"ASV_22",0,105.2,317.6,49.8333333333333,160.333333333333,"Gammaproteobacteria"
"ASV_23",0,7.4,0,529.333333333333,0,"Gammaproteobacteria"
"ASV_24",45.4,19.8,697,1.83333333333333,81.3333333333333,"Gammaproteobacteria"
"ASV_25",731.4,0,90.4,0,0,"Gammaproteobacteria"
"ASV_26",0,0,47.8,0,573,"Gammaproteobacteria"
"ASV_27",3.2,94.4,56.4,306.5,71,"Gammaproteobacteria"
"ASV_28",43.4,0,393.8,0,94.3333333333333,"Acidobacteria"
"ASV_29",18,0,21.6,0,499.666666666667,"Gammaproteobacteria"
"ASV_30",0,233,133.2,0,0,"Bacteroidetes"
"ASV_31",0,30.2,455,105.666666666667,24.6666666666667,"Gammaproteobacteria"
"ASV_32",533.2,10.8,48.8,2.16666666666667,18.5,"Gammaproteobacteria"
"ASV_33",483,0,8,0.5,3.5,"Bacteroidetes"
"ASV_34",52.2,0,472.6,0,29.1666666666667,"Acidobacteria"
"ASV_35",0,14.6,307.6,0.333333333333333,125.666666666667,"Gammaproteobacteria"
"ASV_36",1.6,1,435.8,1.66666666666667,40.6666666666667,"Acidobacteria"
"ASV_37",6.4,0,478.4,0,0,"Acidobacteria"
"ASV_38",1.2,333.4,13,11.5,1.83333333333333,"Bacteroidetes"
"ASV_39",0,174.2,4,120.5,90.5,"Gammaproteobacteria"
"ASV_40",0,0,471.4,0,2.5,"Gammaproteobacteria"
"ASV_41",0,5.4,428,0,174.5,"Alphaproteobacteria"
"ASV_42",0,286,136,13.1666666666667,3,"Firmicutes"
"ASV_43",23.8,3.6,48,5.5,333.5,"Gammaproteobacteria"
"ASV_44",0,0,426.2,1.66666666666667,0.666666666666667,"Deltaproteobacteria"
"ASV_45",0,0,14.2,0,233.666666666667,"Gammaproteobacteria"
"ASV_46",0,100.8,2,176.833333333333,48,"Gammaproteobacteria"
"ASV_47",5.8,71,200.6,29.1666666666667,33.8333333333333,"Gammaproteobacteria"
"ASV_48",0,0,27.2,0,351.666666666667,"Gammaproteobacteria"
"ASV_49",0,11.6,1.2,264.666666666667,16.5,"Actinobacteria"
"ASV_50",0,0.6,505.8,0,0.666666666666667,"Firmicutes"
"ASV_51",0,239,7.8,6.16666666666667,0,"Bacteroidetes"
"ASV_52",0,0,305,0,1.16666666666667,"Gammaproteobacteria"
"ASV_53",0,0,4.8,0,221.333333333333,"Gammaproteobacteria"
"ASV_54",54.2,4.2,102.2,0,127.5,"Gammaproteobacteria"
"ASV_55",167.4,116.2,0.6,0.166666666666667,6.5,"Alphaproteobacteria"
"ASV_56",0,80.2,6,215.333333333333,34.8333333333333,"Gammaproteobacteria"
"ASV_57",0,311.4,9.2,0.666666666666667,0,"Bacteroidetes"
"ASV_58",0,37.2,4.8,171,24.1666666666667,"Gammaproteobacteria"
"ASV_59",0,0,12.8,116.5,125.833333333333,"Gammaproteobacteria"
"ASV_60",2.4,5.6,271.8,0,0.666666666666667,"Deltaproteobacteria"
"ASV_61",311.6,0,0,0,0,"Gammaproteobacteria"
"ASV_62",45.6,91.2,12.4,15.8333333333333,156.166666666667,"Gammaproteobacteria"
"ASV_63",276.8,0,0,3.33333333333333,2.5,"Gammaproteobacteria"
"ASV_64",18.6,9.4,214.2,0,0,"Deltaproteobacteria"
"ASV_65",313.4,0,0.6,0,0,"Gammaproteobacteria"
"ASV_66",1.6,0,120.6,0,83.6666666666667,"Bacteroidetes"
"ASV_67",0,215.4,0.2,19,0,"Bacteroidetes"
"ASV_68",0,5.4,317.6,11.6666666666667,3.33333333333333,"Gammaproteobacteria"
"ASV_69",2.2,57.2,9,155.5,48.1666666666667,"Deltaproteobacteria"
"ASV_70",0,210.6,0,1.33333333333333,7.5,"Gammaproteobacteria"
"ASV_71",0,128.2,0,51.5,2.33333333333333,"Gammaproteobacteria"
"ASV_72",0,5,18.6,25.3333333333333,211.833333333333,"Gammaproteobacteria"
"ASV_73",200.8,18,5.4,0,18.8333333333333,"Gammaproteobacteria"
"ASV_74",0,200.8,0,0.166666666666667,0.833333333333333,"Others"
"ASV_75",0,0,330.2,0,0,"Acidobacteria"
"ASV_76",14,20,45.6,8.5,86,"Gammaproteobacteria"
"ASV_77",205.8,0,0,0,0,"Gammaproteobacteria"
"ASV_78",66.6,0,109.4,0,34.6666666666667,"Acidobacteria"
"ASV_79",0,155.6,0,6.66666666666667,0,"Firmicutes"
"ASV_80",0,226.8,0,0,0,"Firmicutes"
"ASV_81",168.2,0,63.4,0,0,"Gammaproteobacteria"
"ASV_82",0,0,262,0,12.5,"Gammaproteobacteria"
"ASV_83",198.2,0,0,0,0,"Bacteroidetes"
"ASV_84",0,13.8,10,88.3333333333333,64.8333333333333,"Alphaproteobacteria"
"ASV_85",0,7,28.2,5.33333333333333,139.5,"Gammaproteobacteria"
"ASV_86",0,0,12.4,0,129.833333333333,"Gammaproteobacteria"
"ASV_87",188,0,0.8,0,0,"Bacteroidetes"
"ASV_88",176.4,3.6,0,0,6,"Gammaproteobacteria"
"ASV_89",14,0,43.6,0,132,"Gammaproteobacteria"
"ASV_90",0,0,107.2,0,25.8333333333333,"Gammaproteobacteria"
"ASV_91",0,162.8,0,0,0,"Others"
"ASV_92",0,0,200,0,7.83333333333333,"Bacteroidetes"
"ASV_93",0,1.4,10.2,15,112,"Alphaproteobacteria"
"ASV_94",0,60.4,0,79.5,0,"Alphaproteobacteria"
"ASV_95",20,1.6,92.8,0,54.5,"Deltaproteobacteria"
"ASV_96",0,0,147.2,0,0,"Gammaproteobacteria"
"ASV_97",0,0,177.2,0,0.333333333333333,"Gammaproteobacteria"
"ASV_98",0,0.8,15.4,9,132.833333333333,"Alphaproteobacteria"
"ASV_99",0,88.8,0,50.5,0,"Alphaproteobacteria"
"ASV_100",149,0,0,0,0,"Actinobacteria"
"ASV_101",30.6,2.4,37.6,0,69.6666666666667,"Gammaproteobacteria"
"ASV_102",0,11.2,91,2.5,42.5,"Gammaproteobacteria"
"ASV_103",0,0,100,34.3333333333333,35,"Gammaproteobacteria"
"ASV_104",0,0,21.2,0,96.6666666666667,"Gammaproteobacteria"
"ASV_105",0,156.2,0,0,0.5,"Others"
"ASV_106",121.4,0,78,0,1.33333333333333,"Gammaproteobacteria"
"ASV_107",0,116.6,1.2,11,6.33333333333333,"Alphaproteobacteria"
"ASV_108",0,0,4.2,0,125.666666666667,"Gammaproteobacteria"
"ASV_109",108.8,0,41.4,0,0,"Deltaproteobacteria"
"ASV_110",0,0,142,0,2.16666666666667,"Firmicutes"
"ASV_111",0,6,170,0,0.666666666666667,"Bacteroidetes"
"ASV_112",121,0,37,0,0,"Verrucomicrobia"
"ASV_113",149.2,0,9.6,0,0,"Gammaproteobacteria"
"ASV_114",0,10.2,3.2,106.833333333333,8.66666666666667,"Gammaproteobacteria"
"ASV_115",0,33,43.8,23.8333333333333,17,"Alphaproteobacteria"
"ASV_116",179,0,0,0,0,"Nitrospirae"
"ASV_117",8.8,6.6,17.8,78,25.6666666666667,"Alphaproteobacteria"
"ASV_118",7.2,41.4,7.4,61,20,"Gammaproteobacteria"
"ASV_119",29.2,0,7.4,0,105.666666666667,"Gammaproteobacteria"
"ASV_120",0,0,2,107,5,"Actinobacteria"
"ASV_121",37.6,0,94,0,39.3333333333333,"Gammaproteobacteria"
"ASV_122",21.8,15.8,77.8,2.66666666666667,4.16666666666667,"Gammaproteobacteria"
"ASV_123",111.8,0,19.2,4.66666666666667,0,"Gammaproteobacteria"
"ASV_124",0,11,9.2,20.8333333333333,47.3333333333333,"Alphaproteobacteria"
"ASV_125",128.6,1.8,1.6,0,0,"Bacteroidetes"
"ASV_126",146,0,0,0,0,"Nitrospirae"
"ASV_127",128.6,0,0,0,0,"Bacteroidetes"
"ASV_128",59,26,29.6,5.66666666666667,11.5,"Gammaproteobacteria"
"ASV_129",23.4,0,37.8,0,53.1666666666667,"Gammaproteobacteria"
"ASV_130",20,81.2,16.6,4.5,0.5,"Alphaproteobacteria"
"ASV_131",0,112,84.2,0,0,"Bacteroidetes"
"ASV_132",117,0,3,0,0,"Bacteroidetes"
"ASV_133",0,101.2,12.6,29.1666666666667,4,"Alphaproteobacteria"
"ASV_134",140.4,0,1.2,0,0,"Deltaproteobacteria"
"ASV_135",0,13,145.6,0,0,"Bacteroidetes"
"ASV_137",0,37.2,5.2,58.3333333333333,26.6666666666667,"Gammaproteobacteria"
"ASV_138",57.6,0,44.6,0,11,"Deltaproteobacteria"
"ASV_139",0,94.2,26.2,0,0.833333333333333,"Firmicutes"
"ASV_140",11.6,42.8,78.8,0,4.33333333333333,"Gammaproteobacteria"
"ASV_141",97.2,0,16.2,0,6.16666666666667,"Gammaproteobacteria"
"ASV_142",0,0,0,0,72.1666666666667,"Gammaproteobacteria"
"ASV_143",115,0,8.6,0,12.6666666666667,"Gammaproteobacteria"
"ASV_144",0,0,51.4,4.66666666666667,40.1666666666667,"Gammaproteobacteria"
"ASV_145",0,0,8.8,0,73.8333333333333,"Gammaproteobacteria"
"ASV_146",0,42.6,2.8,14.5,26.6666666666667,"Gammaproteobacteria"
"ASV_147",123.2,0,0.4,0,0,"Nitrospirae"
"ASV_148",0,0,3.2,0,89.3333333333333,"Actinobacteria"
"ASV_149",112.6,0,0,0,0,"Bacteroidetes"
"ASV_150",0,27.6,33.4,28.1666666666667,19.8333333333333,"Alphaproteobacteria"
"ASV_151",0,67.8,0,37.6666666666667,0,"Alphaproteobacteria"
"ASV_152",0,96.2,0,0,0,"Others"
"ASV_153",0,0,45.8,0,45.1666666666667,"Gammaproteobacteria"
"ASV_154",0,61.2,0,23.6666666666667,0,"Alphaproteobacteria"
"ASV_155",111.8,0,0,0,0,"Deltaproteobacteria"
"ASV_156",88.8,0,21.8,0,0,"Gammaproteobacteria"
"ASV_157",101.6,0,0,0,1.5,"Bacteroidetes"
"ASV_158",110.2,0,0.8,0,0,"Nitrospirae"
"ASV_159",32.2,0,31.2,0,42.5,"Gammaproteobacteria"
"ASV_160",120.2,0,0,0,0,"Deltaproteobacteria"
"ASV_161",0,82.8,1,2.66666666666667,5,"Alphaproteobacteria"
"ASV_162",122.6,0,0.4,0,0,"Gammaproteobacteria"
"ASV_163",0,97.8,17.4,1.33333333333333,0,"Firmicutes"
"ASV_164",0,86,0,0,0,"Others"
"ASV_165",94.2,0,17.6,0,0,"Verrucomicrobia"
"ASV_166",0,23.8,7.6,15.8333333333333,51.1666666666667,"Alphaproteobacteria"
"ASV_167",89.8,0,14,0,0,"Verrucomicrobia"
"ASV_168",122.8,0,0,0,0,"Deltaproteobacteria"
"ASV_169",0,0,0,75.6666666666667,1.33333333333333,"Bacteroidetes"
"ASV_170",108.2,0,0,0,0,"Firmicutes"
"ASV_171",0,84.8,0,25.3333333333333,0,"Alphaproteobacteria"
"ASV_172",122.6,0,0,0,0,"Gammaproteobacteria"
"ASV_173",0,0,10.6,36.5,44.3333333333333,"Gammaproteobacteria"
"ASV_174",10.8,31.2,11.4,43,3.66666666666667,"Gammaproteobacteria"
"ASV_175",0,1,180.4,0,0.166666666666667,"Alphaproteobacteria"
"ASV_176",7,31.2,2.8,26,29.3333333333333,"Gammaproteobacteria"
"ASV_177",0,87,0,0,0,"Alphaproteobacteria"
"ASV_178",0,66.2,31.4,1.66666666666667,1,"Firmicutes"
"ASV_179",67.6,2.6,13.4,0,12.3333333333333,"Gammaproteobacteria"
"ASV_180",106.2,0,0,0,0,"Gammaproteobacteria"
"ASV_181",0,0.6,88,0,0.5,"Acidobacteria"
"ASV_182",0,67,6.8,0.333333333333333,0,"Alphaproteobacteria"
