"","Stock","Genus2","Phylum","Class","Annotation","variable","value","group"
"1","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11R1",0.00150674724728868,"Root"
"2","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11R1",0.000115903634406822,"Root"
"3","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11R1",0.0164583160857687,"Root"
"4","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11R1",0.0133040814636973,"Root"
"5","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11R1",5.79518172034109e-05,"Root"
"6","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11R1",5.79518172034109e-05,"Root"
"7","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11R1",0.00576206639622485,"Root"
"8","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11R1",0.187639705273615,"Root"
"9","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11R1",0.44793443165825,"Root"
"10","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11R1",0.184030134944946,"Root"
"11","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11R1",0.143132709661396,"Root"
"12","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11R2",0.000259193260975215,"Root"
"13","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11R2",4.04989470273773e-05,"Root"
"14","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11R2",0.00744370646363195,"Root"
"15","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11R2",0.0127004697877855,"Root"
"16","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11R2",0,"Root"
"17","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11R2",9.71974728657055e-05,"Root"
"18","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11R2",0.00662562773367892,"Root"
"19","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11R2",0.077563583346833,"Root"
"20","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11R2",0.464336627247692,"Root"
"21","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11R2",0.252170743560667,"Root"
"22","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11R2",0.178762352178843,"Root"
"23","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11R3",0.000831146515254807,"Root"
"24","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11R3",0.000224129397372083,"Root"
"25","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11R3",0.0138866839121786,"Root"
"26","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11R3",0.00466936244525173,"Root"
"27","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11R3",5.60323493430207e-05,"Root"
"28","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11R3",0.000177435772919566,"Root"
"29","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11R3",0.0116080350388958,"Root"
"30","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11R3",0.199110953390424,"Root"
"31","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11R3",0.369467972842988,"Root"
"32","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11R3",0.363715318310438,"Root"
"33","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11R3",0.0362529300249344,"Root"
"34","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11R4",0.000506382161378756,"Root"
"35","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11R4",0,"Root"
"36","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11R4",0.00868707328572177,"Root"
"37","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11R4",0.011096753915731,"Root"
"38","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11R4",0,"Root"
"39","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11R4",0.000148422357645498,"Root"
"40","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11R4",0.0137596256264297,"Root"
