"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107279218",0.786993,0.756823,0.493153,76.371408,64.250194,73.414896,2894.58610854835,6.7896293948136,0.167242331555686,40.5975528543315,0,0
"LOC4340812",7.746782,7.185724,6.650511,93.375042,92.33271,104.734028,5088.93799875321,3.79125828360588,0.0983909072494159,38.53260824189,0,0
"LOC4326391",0.205712,0.169008,0.277144,60.762693,62.037775,79.255187,2927.99713712649,8.27539553047187,0.23448467886454,35.2918389830173,7.83449649315435e-273,1.59353658670759e-269
"LOC4343452",4.044703,5.603497,4.075568,232.437068,255.266658,329.343431,3448.40338355685,5.93889222972429,0.168634795924444,35.2174780843283,1.08008569588313e-271,2.0279024357781e-268
"LOC4324116",5.163588,3.389773,4.602667,110.849347,135.44003,113.065401,8580.0903128063,4.81162864417861,0.139004737937934,34.6148535334603,1.51035496332557e-262,2.31707493302088e-259
"LOC4347435",4.55199,5.052106,5.508794,53.079593,60.457256,57.134039,2145.59253073171,3.53410648205895,0.104743996837515,33.7404203463924,1.47748482421184e-249,2.00346942163126e-246
"LOC9269383",1.355343,1.217185,2.187241,269.266138,419.378926,420.156169,3142.33762912533,7.86016977810458,0.238658826492033,32.9347541578017,6.99360950743752e-238,7.42174003728413e-235
"LOC4326932",1.066482,1.182996,1.116878,49.81909,48.268616,43.179852,1025.44546187949,5.44647516100351,0.166675388775324,32.6771408845806,3.29940486525032e-234,3.35549474795958e-231
"LOC4331855",0.540751,0.482111,0.768955,67.357616,73.488435,58.607132,1445.43128953224,6.81676955933711,0.209190402881107,32.5864354456615,6.38411040388454e-233,6.23293466952055e-230
"LOC4352660",6.406922,8.422485,6.08421,158.977796,174.275317,140.687128,6049.44290122502,4.54186487214495,0.140204256153031,32.3946290702301,3.266896469672e-230,3.0668618858367e-227
"LOC4341932",1.047983,1.001864,0.885734,62.318544,53.084848,79.18709,1879.36138420038,6.10021117791889,0.188893950722775,32.2943702250777,8.391097768072e-229,7.58555238233708e-226
"LOC4332926",6.431312,5.569689,5.643965,122.945881,142.133345,181.897227,4180.69053735007,4.70229279792904,0.145862298745394,32.2378903827439,5.20031554202814e-228,4.53318934820796e-225
"LOC9267999",18.933784,18.856716,18.571736,130.831905,155.400164,154.3507,4395.74415972167,3.00548662767078,0.0943939692169331,31.8398161726167,1.82111829293422e-222,1.53275363082546e-219
"LOC107276470",3.020431,2.472296,1.76817,81.567314,70.166466,76.772876,2273.83956449649,5.02737336388205,0.160730071155308,31.2783620871061,9.18976273902868e-215,7.47679096447373e-212
