"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4332926",16.920425,19.822865,682.665748,697.965999,8108.19623346937,5.32287199229774,0.134969221793765,39.4376726897868,0,0
"LOC4347593",889.983299,742.662641,10.623048,11.024298,12031.1930317032,-6.14917186895168,0.159127533647489,-38.6430413895171,0,0
"LOC4326014",538.905409,517.426638,7.864313,5.972136,11592.3764728095,-6.17653401846322,0.158296264662588,-39.0188235434908,0,0
"LOC4332123",1798.456667,1854.640335,15.168795,19.145098,8078.63752331247,-6.62936318250155,0.159470644499568,-41.571056562197,0,0
"LOC4332166",896.545857,988.089301,8.067109,8.245745,5564.69527721784,-6.76643036014623,0.159920140843663,-42.3113081594959,0,0
"LOC4343453",3.053944,2.076524,410.821202,427.436498,5179.93234436993,7.42985431056061,0.199312891499735,37.2773394367744,3.82269325066253e-304,1.416498984033e-300
"LOC4331302",250.970403,270.533558,4022.398653,4094.860435,16727.9612703451,4.04897837595419,0.110832266671389,36.5324873121937,3.38309641301177e-292,1.07451975072129e-288
"LOC4324968",3.658528,2.885339,241.381624,262.194252,4757.2179489087,6.35302248395354,0.176884186257563,35.9162829553505,1.701567254637e-282,4.72886809654305e-279
"LOC4335515",1390.165656,1831.058731,26.978671,26.698417,15261.5596375943,-5.81801036955178,0.168633117735598,-34.5009951050891,7.7505187522231e-261,1.91463648242418e-257
"LOC4341933",2.19926,1.906561,186.649895,182.544323,2453.21498187379,6.57819310558193,0.194002045221976,33.9078544149119,5.10306843361914e-252,1.13456520484654e-248
"LOC4349190",992.318139,1056.796975,63.535854,67.408,15909.5524326505,-3.87832335719369,0.115689888292913,-33.523442838619,2.19547586070223e-246,4.43745589190843e-243
"LOC4330873",2.89867,3.064297,138.133345,131.935246,2194.89740831664,5.5916628371834,0.166822205191697,33.5186963315704,2.57448150338647e-246,4.76987060539928e-243
"LOC4337274",14.958353,12.323089,468.630611,425.876351,4079.62921094943,5.11731683405926,0.157645663750729,32.4608791152722,3.80397369024517e-231,6.50567285040161e-228
"LOC4332455",364.04876,410.95294,12.909421,13.995814,2937.97993609919,-4.75306932492994,0.152777673334778,-31.111020486054,1.70891367897201e-212,2.71387698747033e-209
"LOC112939299",1.080452,0.961968,165.317092,173.172537,2340.04422239701,7.47422046474671,0.242921159738433,30.7680914778878,7.00517862572233e-208,1.03830757590456e-204
"LOC9266659",41.727729,44.630577,698.732287,689.395893,2577.00675183538,4.09580792701324,0.134264548816334,30.5055054600902,2.20264087005667e-204,3.06070715399812e-201
