"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4332926",16.920425,19.822865,682.665748,697.965999,8108.19623346937,5.32287199229774,0.134969221793765,39.4376726897868,0,0
"LOC4343453",3.053944,2.076524,410.821202,427.436498,5179.93234436993,7.42985431056061,0.199312891499735,37.2773394367744,3.82269325066253e-304,1.416498984033e-300
"LOC4331302",250.970403,270.533558,4022.398653,4094.860435,16727.9612703451,4.04897837595419,0.110832266671389,36.5324873121937,3.38309641301177e-292,1.07451975072129e-288
"LOC4324968",3.658528,2.885339,241.381624,262.194252,4757.2179489087,6.35302248395354,0.176884186257563,35.9162829553505,1.701567254637e-282,4.72886809654305e-279
"LOC4341933",2.19926,1.906561,186.649895,182.544323,2453.21498187379,6.57819310558193,0.194002045221976,33.9078544149119,5.10306843361914e-252,1.13456520484654e-248
"LOC4330873",2.89867,3.064297,138.133345,131.935246,2194.89740831664,5.5916628371834,0.166822205191697,33.5186963315704,2.57448150338647e-246,4.76987060539928e-243
"LOC4337274",14.958353,12.323089,468.630611,425.876351,4079.62921094943,5.11731683405926,0.157645663750729,32.4608791152722,3.80397369024517e-231,6.50567285040161e-228
"LOC112939299",1.080452,0.961968,165.317092,173.172537,2340.04422239701,7.47422046474671,0.242921159738433,30.7680914778878,7.00517862572233e-208,1.03830757590456e-204
"LOC9266659",41.727729,44.630577,698.732287,689.395893,2577.00675183538,4.09580792701324,0.134264548816334,30.5055054600902,2.20264087005667e-204,3.06070715399812e-201
"LOC4324959",44.140742,49.949372,686.714783,606.586106,8093.77671814187,3.86853682734363,0.131560140377478,29.4050828483754,4.72849471812161e-190,5.53308542463146e-187
"LOC4331303",27.110774,28.754752,399.002662,425.727457,3048.95199142864,3.97385257199779,0.137724890386001,28.8535540733434,4.57249304918736e-183,5.08301189812913e-180
"LOC4331301",445.343626,485.069672,3229.790504,3179.91758,15376.8174401183,2.87306870274659,0.108470797287949,26.4870248452188,1.36751477878975e-154,1.16938292603202e-151
"LOC9269196",10.790738,7.123893,421.642913,492.578498,6894.37293911451,5.75661358904399,0.22090476110826,26.059255401122,1.05670046681664e-149,8.39057909954798e-147
"LOC107276913",2.081932,1.491466,238.159054,240.374602,1386.76353640176,7.13338559093705,0.274356073867598,26.0004653455552,4.89248409239122e-149,3.75084823538393e-146
"LOC4349324",23.148194,19.930667,388.684387,340.949968,2257.62718894467,4.1665770482342,0.161627779978102,25.778842280694,1.53146425618512e-146,1.09835628412141e-143
"LOC4339080",110.337298,107.154946,719.726736,668.57035,10709.9508304586,2.76133169570715,0.110273127041155,25.0408396841471,2.19685958928831e-138,1.48008421965597e-135
