"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","ID","cl"
"LOC4327719",1.06553912286062,1.19605200069878,0.96745689057421,0.969018030671738,-1.12277021586503,-1.19533498678125,-1.32066917233337,-0.254099566410526,-0.0678205843267709,-0.237371519088394,"LOC4327719",1
"LOC4336456",1.2539715099062,0.782173116481883,0.266641661906532,0.0837712578396586,-1.13521286594877,-1.76236247684856,-1.17830785132592,0.519510710648113,0.569395326885573,0.600419610455299,"LOC4336456",1
"LOC4327515",0.810974692726911,1.11632164603037,-0.414068824532467,0.0931224554495144,-1.41131101476676,-1.08650143656443,-1.34091527357582,0.465723210676826,1.17337129942845,0.59328324512741,"LOC4327515",1
"LOC4331344",1.26061058394188,1.54314452462132,-0.389026645798261,-0.539744042936715,-1.06572184561725,-1.04908096740862,-1.16021371576748,0.545089250330672,0.840923262973412,0.0140195956610331,"LOC4331344",1
"LOC4352610",1.14989730414422,1.12087851722207,1.20081272587922,1.03825137520711,-0.940131386776002,-1.05725295326317,-1.08570941027741,-0.595262320423932,-0.313187706772914,-0.518296144939187,"LOC4352610",1
"LOC4335776",1.07266674328924,1.22435231174752,0.934141930745035,0.786864628723861,-0.979012696184764,-1.23425983232044,-1.51916387415642,0.0359591314067811,-0.0717275920190829,-0.249820751231723,"LOC4335776",1
"LOC107276601",1.66722636261125,1.84175555493704,-0.231032549256717,-0.131139259861932,-0.956824812360638,-1.00763750148312,-0.886788046215816,-0.0482335053869858,-0.0621509834696526,-0.185175259513436,"LOC107276601",1
"LOC4348283",1.29319123368657,1.31575885838721,0.736284823441484,0.727899103360088,-0.946866781129826,-1.3404455809254,-1.24959582933789,-0.269136060617416,0.150654984226134,-0.41774475109096,"LOC4348283",1
"LOC4350708",0.917778715436544,1.4683406694691,0.536458251815408,0.396925699334854,-1.15996984106517,-1.57347070383605,-1.248301431704,0.173381372470187,0.127869477085939,0.360987790993201,"LOC4350708",1
"LOC9266864",1.0903336667239,1.5431357806739,0.0187634451981435,-0.452944133674268,-1.01699438295876,-1.58986623355165,-0.95456679143674,0.276904151488564,0.335613430927056,0.749621066609858,"LOC9266864",1
"LOC4349457",1.55521785302209,1.53436139370422,-0.397059545104824,-0.839792740375895,-1.19997059401806,-0.930467150253846,-0.797059628478107,0.23434624935256,0.506950964211892,0.333473197939974,"LOC4349457",1
"LOC4349962",1.02452486536703,1.30127568596685,-0.477152592541161,0.065879382298382,-1.44926117345689,-1.23730747153932,-1.10260422712002,0.578885041096945,0.606731881323804,0.689028608604378,"LOC4349962",1
"LOC9270250",1.42221522875522,1.03396129503347,0.410141567781389,0.87048845487492,-0.970684759072022,-1.24722590704591,-1.4617207315783,-0.495361603662028,0.162321918979609,0.27586453593366,"LOC9270250",1
