"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","Kit_microbiota_vs_germfree_log2FoldChange","Kit_microbiota_vs_germfree_pvalue","Kit_microbiota_vs_germfree_padj","MH63_microbiota_vs_germfree_log2FoldChange","MH63_microbiota_vs_germfree_pvalue","MH63_microbiota_vs_germfree_padj"
"LOC107279218",61.2111104979872,60.4963924837061,37.4402523698168,6192.51073381407,5144.43737733314,5871.42078479138,27.0459439059177,6.31542817225772,257.91311785156,211.424557422387,6.7896293948136,0,0,3.80074886515146,1.09409693133147e-11,1.78205546331813e-10
"LOC4340812",738.064736196885,700.548224961316,622.01873823491,9235.84688220653,9018.06894846166,10219.080462458,170.969002548122,163.148561116658,165.064395424998,230.953733409194,3.79125828360588,0,0,0.24921744629262,0.405527950654613,0.571942586076124
"LOC4326391",17.6570511051886,14.5191341960895,22.9747003178421,5315.01387408156,5359.09500548459,6838.72305757367,0,0,0,0,8.27539553047187,7.83449649315435e-273,1.59353658670759e-269,0,0,0
"LOC4343452",97.7023494487104,139.141702712524,97.0042902308889,5846.13039444597,6339.33763441956,8171.10393008346,9.65926568068488,5.26285681021477,2251.29494871317,1951.21940946444,5.93889222972429,1.08008569588313e-271,2.0279024357781e-268,8.12076445894972,8.26402433428216e-87,2.0414894780455e-84
"LOC4324116",694.510676804086,467.032149974211,607.553186182936,15473.5794936603,18669.5003282751,15568.3660419411,16.4207516571643,17.8937131547302,33.2421351897566,73.0221362984952,4.81162864417861,1.51035496332557e-262,2.31707493302088e-259,1.6390735270335,0.0145286018356567,0.0430743305256907
"LOC4347435",307.232689230282,348.459220706147,365.042460605713,3719.73997776961,4183.78327720287,3949.29755887562,43.4666955630819,38.9451403955893,36.6809767611108,59.4366225685426,3.53410648205895,1.47748482421184e-249,2.00346942163126e-246,0.229168724694071,0.666409316198217,0.790243657103577
"LOC9269383",22.3655980665723,20.5687734444601,35.7384227166433,4604.93417837696,7082.06935159759,7088.34945054974,344.83578480045,154.727990220314,1052.28552083437,674.181118848897,7.86016977810458,6.99360950743752e-238,7.42174003728413e-235,1.7882977957043,0.00448139857528369,0.0159313934320886
"LOC4326932",43.5540593927986,49.607041836639,45.0984858090975,2138.89859559799,2047.00126009067,1828.51332854974,19.3185313613698,27.3668554131168,18.3404883805554,20.3782705949289,5.44647516100351,3.29940486525032e-234,3.35549474795958e-231,-0.265542974360555,0.705392055588995,0.819320409843187
"LOC4331855",22.3655980665723,20.5687734444601,31.4838485837095,2928.83820287912,3155.38551495636,2513.9457992632,11.5911188168219,7.36799953430068,8.02396366649298,1.69818921624407,6.81676955933711,6.38411040388454e-233,6.23293466952055e-230,-0.998555201720826,0.450975302808059,0.614222654964342
"LOC4352660",456.729055254212,614.643347634454,426.308328119959,11775.0072032965,12745.6027422552,10278.3667307898,172.900855684259,167.35884656483,73.3619535222215,83.2112715959596,4.54186487214495,3.266896469672e-230,3.0668618858367e-227,-1.11648245334931,0.000319800919224442,0.00158319613384926
"LOC4341932",57.6797002769495,56.8666089346837,48.5021451154444,3590.80951811593,3020.71437942407,4501.59595333518,21.2503844975067,11.5782849824725,1898.24054738748,2062.45080312843,6.10021117791889,8.391097768072e-229,7.58555238233708e-226,6.90011612545416,9.84461191793393e-115,4.20913955329664e-112
"LOC4332926",337.838244479276,300.062106719182,291.012870692667,6708.23257242879,7657.48238523552,9789.515044545,368.018022434094,423.133687541267,15435.8135332849,16205.8196906172,4.70229279792904,5.20031554202814e-228,4.53318934820796e-225,5.32287199229774,0,0
