"","cl","Sample","NorExpress"
"1","cluster_1","kit_germfree1",-0.352007735082003
"2","cluster_2","kit_germfree1",0.772390345193039
"3","cluster_3","kit_germfree1",0.492904675561264
"4","cluster_4","kit_germfree1",-0.563519995451505
"5","cluster_5","kit_germfree1",1.10566183234712
"6","cluster_6","kit_germfree1",-0.272818385747554
"7","cluster_7","kit_germfree1",1.38716164882962
"8","cluster_8","kit_germfree1",-0.490407909256334
"9","cluster_9","kit_germfree1",0.191408096539299
"10","cluster_10","kit_germfree1",0.595478392738851
"11","cluster_1","kit_germfree3",-0.277791627671937
"12","cluster_2","kit_germfree3",0.861122569258198
"13","cluster_3","kit_germfree3",0.337323584142596
"14","cluster_4","kit_germfree3",-0.584008729810235
"15","cluster_5","kit_germfree3",1.71505808262475
"16","cluster_6","kit_germfree3",-0.357557907928381
"17","cluster_7","kit_germfree3",1.37659787744935
"18","cluster_8","kit_germfree3",-0.577774047245401
"19","cluster_9","kit_germfree3",0.416533955976645
"20","cluster_10","kit_germfree3",0.969515962561434
"21","cluster_1","kit_germfree4",-0.388797401097746
"22","cluster_2","kit_germfree4",0.734314047043555
"23","cluster_3","kit_germfree4",0.513097911919359
"24","cluster_4","kit_germfree4",-0.577667296352591
"25","cluster_5","kit_germfree4",1.02820121325507
"26","cluster_6","kit_germfree4",-0.349409145060934
"27","cluster_7","kit_germfree4",1.15477676988375
"28","cluster_8","kit_germfree4",-0.524046688314745
"29","cluster_9","kit_germfree4",0.172524870497789
"30","cluster_10","kit_germfree4",0.550250075497658
"31","cluster_1","kit_microbiota1",-0.570391356623212
"32","cluster_2","kit_microbiota1",0.597863907604871
"33","cluster_3","kit_microbiota1",0.715859740813062
"34","cluster_4","kit_microbiota1",-0.347591581901645
"35","cluster_5","kit_microbiota1",-0.60140492500473
"36","cluster_6","kit_microbiota1",1.26536767582158
"37","cluster_7","kit_microbiota1",-0.203617928588903
"38","cluster_8","kit_microbiota1",0.64883252734541
"39","cluster_9","kit_microbiota1",-0.583581377472678
"40","cluster_10","kit_microbiota1",-0.763703385364851
"41","cluster_1","kit_microbiota2",-0.55030557064953
"42","cluster_2","kit_microbiota2",0.58701537548465
"43","cluster_3","kit_microbiota2",0.751508146229365
"44","cluster_4","kit_microbiota2",-0.323919330296092
"45","cluster_5","kit_microbiota2",-0.635947799372861
"46","cluster_6","kit_microbiota2",1.26015245972584
"47","cluster_7","kit_microbiota2",-0.236408966242171
"48","cluster_8","kit_microbiota2",0.68976480545951
"49","cluster_9","kit_microbiota2",-0.485963768432749
"50","cluster_10","kit_microbiota2",-0.7978233218069
"51","cluster_1","kit_microbiota3",-0.554133967149432
"52","cluster_2","kit_microbiota3",0.430029274578667
"53","cluster_3","kit_microbiota3",1.13697613201992
"54","cluster_4","kit_microbiota3",-0.21510278058224
"55","cluster_5","kit_microbiota3",-0.62223800886187
"56","cluster_6","kit_microbiota3",1.41634085972546
"57","cluster_7","kit_microbiota3",-0.22895505912095
"58","cluster_8","kit_microbiota3",1.12736831917421
"59","cluster_9","kit_microbiota3",-0.515699369040648
"60","cluster_10","kit_microbiota3",-0.817743911122906
"61","cluster_1","MH63_germfree2",1.57583524940883
"62","cluster_2","MH63_germfree2",-0.626299012218674
"63","cluster_3","MH63_germfree2",-1.38943387345811
"64","cluster_4","MH63_germfree2",-0.332644296567111
"65","cluster_5","MH63_germfree2",-0.246422382179093
"66","cluster_6","MH63_germfree2",-0.782692561676185
"67","cluster_7","MH63_germfree2",-0.793149413169475
"68","cluster_8","MH63_germfree2",-1.10302024724997
"69","cluster_9","MH63_germfree2",-0.655878248805383
"70","cluster_10","MH63_germfree2",0.952387018362362
"71","cluster_1","MH63_germfree3",1.70371338607278
"72","cluster_2","MH63_germfree3",-0.592765363306896
"73","cluster_3","MH63_germfree3",-1.44073837625818
"74","cluster_4","MH63_germfree3",-0.38592995416909
"75","cluster_5","MH63_germfree3",-0.253153197082974
"76","cluster_6","MH63_germfree3",-0.785458125700719
"77","cluster_7","MH63_germfree3",-0.798838342071125
"78","cluster_8","MH63_germfree3",-1.18401124278207
"79","cluster_9","MH63_germfree3",-0.721295639127565
"80","cluster_10","MH63_germfree3",1.0267764111474
"81","cluster_1","MH63_microbiota1",-0.317774436748194
"82","cluster_2","MH63_microbiota1",-1.36911095589447
"83","cluster_3","MH63_microbiota1",-0.574302810453067
"84","cluster_4","MH63_microbiota1",1.61420926655847
"85","cluster_5","MH63_microbiota1",-0.780359349283821
"86","cluster_6","MH63_microbiota1",-0.673644182407561
"87","cluster_7","MH63_microbiota1",-0.831234165039958
"88","cluster_8","MH63_microbiota1",0.779916582007153
"89","cluster_9","MH63_microbiota1",0.29074857296531
"90","cluster_10","MH63_microbiota1",-0.888320504885813
"91","cluster_1","MH63_microbiota3",-0.26834654045956
"92","cluster_2","MH63_microbiota3",-1.39456018774293
"93","cluster_3","MH63_microbiota3",-0.543195130516217
"94","cluster_4","MH63_microbiota3",1.71617469857204
"95","cluster_5","MH63_microbiota3",-0.7093954664416
"96","cluster_6","MH63_microbiota3",-0.720280686751542
"97","cluster_7","MH63_microbiota3",-0.826332421930145
"98","cluster_8","MH63_microbiota3",0.633377900862231
"99","cluster_9","MH63_microbiota3",1.89120290689998
"100","cluster_10","MH63_microbiota3",-0.82681673712723
