"","Cultivar","Live"
"cluster_1",0.0180495884489945,0.0510703352860964
"cluster_2",1.31276482090437e-05,0.226681778729085
"cluster_3",6.98277556443472e-05,0.167735005944774
"cluster_4",0.0245429828606982,0.0390629321707119
"cluster_5",0.0876101935240159,0.00475175859227916
"cluster_6",0.0139199358299154,0.039433194273798
"cluster_7",0.00678252617280883,0.0608166045114831
"cluster_8",0.271822653129904,1.11426602167006e-05
"cluster_9",0.272860343503954,0.331283284383749
"cluster_10",0.429435069607134,1.27060630461528e-07
