"","Term.Name","MainClass","GeneNo","AllGenesInSelectedSet","GeneHitsInBackground","AllGenesInBackground","p.value","enrichFactor","GeneListInSelectedSets","padj","Type","padj_log10"
"1","Glutathione metabolism","A09100 Metabolism",43,1060,149,15766,0,4.292376852,"[LOC_Os10g38780.1, LOC_Os11g29400.1, LOC_Os10g34020.1, LOC_Os03g44170.1, LOC_Os10g38340.1, LOC_Os04g35520.1, LOC_Os09g37120.1, LOC_Os01g55830.1, LOC_Os10g38590.1, LOC_Os10g38740.1, LOC_Os10g38720.1, LOC_Os01g49720.1, LOC_Os03g57200.1, LOC_Os06g03720.1, LOC_Os01g05810.1, LOC_Os12g34380.1, LOC_Os10g38670.1, LOC_Os07g44430.1, LOC_Os07g22350.1, LOC_Os10g38610.1, LOC_Os01g72150.1, LOC_Os04g46960.1, LOC_Os07g28480.1, LOC_Os03g39850.1, LOC_Os01g70770.1, LOC_Os02g56100.1, LOC_Os01g27360.1, LOC_Os10g22070.1, LOC_Os01g27340.1, LOC_Os12g24650.1, LOC_Os10g38350.1, LOC_Os04g38450.1, LOC_Os09g20220.1, LOC_Os01g49710.1, LOC_Os01g27210.1, LOC_Os07g44440.1, LOC_Os05g03820.1, LOC_Os03g17470.1, LOC_Os06g33710.1, LOC_Os10g38140.1, LOC_Os09g29200.1, LOC_Os01g72160.1, LOC_Os10g38470.1]",0,"Kit_all",20
"2","Glutathione metabolism","A09100 Metabolism",52,1062,149,15766,0,5.181005827,"[LOC_Os10g38780.1, LOC_Os11g29400.1, LOC_Os10g34020.1, LOC_Os06g12290.1, LOC_Os03g44170.1, LOC_Os09g37120.1, LOC_Os10g38590.1, LOC_Os10g38740.1, LOC_Os01g49720.1, LOC_Os03g57200.1, LOC_Os12g34380.1, LOC_Os10g39740.1, LOC_Os07g22350.1, LOC_Os10g38610.1, LOC_Os01g72150.1, LOC_Os06g14620.1, LOC_Os07g28480.1, LOC_Os05g34150.1, LOC_Os10g22070.1, LOC_Os01g27340.1, LOC_Os02g34810.1, LOC_Os10g38350.1, LOC_Os09g20220.1, LOC_Os01g49710.1, LOC_Os07g44440.1, LOC_Os05g03820.1, LOC_Os03g17470.1, LOC_Os10g38140.1, LOC_Os01g72140.1, LOC_Os10g38340.1, LOC_Os04g35520.1, LOC_Os10g38720.1, LOC_Os04g14680.1, LOC_Os06g03720.1, LOC_Os10g38670.1, LOC_Os01g27390.1, LOC_Os10g38630.1, LOC_Os01g72130.1, LOC_Os12g16200.1, LOC_Os10g38540.1, LOC_Os01g70770.1, LOC_Os02g56100.1, LOC_Os01g25100.1, LOC_Os12g24650.1, LOC_Os04g38450.1, LOC_Os01g27210.1, LOC_Os01g72120.1, LOC_Os10g28000.1, LOC_Os06g33710.1, LOC_Os09g29200.1, LOC_Os01g72160.1, LOC_Os10g38470.1]",0,"MH63_all",20
"3","Starch and sucrose metabolism","A09100 Metabolism",36,1062,277,15766,0.000112,1.929388729,"[LOC_Os01g59840.1, LOC_Os04g36610.1, LOC_Os07g09890.1, LOC_Os03g53800.1, LOC_Os09g33680.1, LOC_Os06g46940.1, LOC_Os02g52710.1, LOC_Os05g37700.1, LOC_Os08g36910.1, LOC_Os06g21570.1, LOC_Os04g17650.1, LOC_Os04g56930.1, LOC_Os02g33110.1, LOC_Os08g39870.1, LOC_Os10g40550.1, LOC_Os04g43400.1, LOC_Os10g11140.1, LOC_Os08g02220.1, LOC_Os04g39880.1, LOC_Os03g22120.1, LOC_Os05g30350.1, LOC_Os04g57860.1, LOC_Os02g52700.1, LOC_Os03g25790.1, LOC_Os04g40510.1, LOC_Os10g37660.1, LOC_Os02g54820.1, LOC_Os01g53000.1, LOC_Os03g11420.1, LOC_Os07g43160.1, LOC_Os04g56920.1, LOC_Os02g03870.1, LOC_Os02g03120.1, LOC_Os07g46280.1, LOC_Os10g17650.1, LOC_Os06g11840.1]",0.001144691,"MH63_all",2.94131173175726
"4","Starch and sucrose metabolism","A09100 Metabolism",44,1060,277,15766,8.02e-08,2.362591104,"[LOC_Os01g59840.1, LOC_Os02g51680.1, LOC_Os08g32940.1, LOC_Os09g33680.1, LOC_Os09g23084.1, LOC_Os05g30300.1, LOC_Os07g46790.1, LOC_Os02g52710.1, LOC_Os03g04770.1, LOC_Os08g36910.1, LOC_Os04g33460.1, LOC_Os04g33740.1, LOC_Os06g21570.1, LOC_Os02g51070.1, LOC_Os02g02560.1, LOC_Os07g30160.1, LOC_Os08g31980.1, LOC_Os10g40550.1, LOC_Os04g43400.1, LOC_Os04g39880.1, LOC_Os05g30350.1, LOC_Os08g31630.1, LOC_Os10g40640.1, LOC_Os09g28420.1, LOC_Os08g25734.1, LOC_Os02g52700.1, LOC_Os10g37660.1, LOC_Os04g53310.1, LOC_Os01g69030.1, LOC_Os06g06560.1, LOC_Os05g30250.1, LOC_Os09g08120.1, LOC_Os09g31430.1, LOC_Os03g11420.1, LOC_Os07g43160.1, LOC_Os02g03870.1, LOC_Os05g50380.1, LOC_Os06g12450.1, LOC_Os11g12810.1, LOC_Os04g45290.1, LOC_Os09g12660.1, LOC_Os02g50040.1, LOC_Os07g46280.1, LOC_Os04g46760.1]",1.14e-06,"Kit_all",5.94309514866352
"5","Diterpenoid biosynthesis","A09100 Metabolism",20,1062,85,15766,6.48e-07,3.493076327,"[LOC_Os01g38110.1, LOC_Os04g10010.1, LOC_Os01g55240.1, LOC_Os02g36110.1, LOC_Os08g36310.1, LOC_Os11g28530.1, LOC_Os02g17780.1, LOC_Os05g40384.1, LOC_Os06g37224.1, LOC_Os09g27500.1, LOC_Os04g10060.1, LOC_Os04g09900.1, LOC_Os07g46846.1, LOC_Os06g02019.1, LOC_Os08g39694.1, LOC_Os07g48330.1, LOC_Os06g37300.1, LOC_Os02g36070.1, LOC_Os04g09920.1, LOC_Os07g11739.1]",1.14e-05,"MH63_all",4.94309514866353
"6","Diterpenoid biosynthesis","A09100 Metabolism",21,1060,85,15766,1.36e-07,3.674650388,"[LOC_Os06g39780.1, LOC_Os10g23180.1, LOC_Os05g06670.1, LOC_Os03g63970.1, LOC_Os10g30410.1, LOC_Os02g36110.1, LOC_Os12g30824.1, LOC_Os08g36310.1, LOC_Os07g01340.1, LOC_Os11g28530.1, LOC_Os05g40384.1, LOC_Os06g37224.1, LOC_Os01g08220.1, LOC_Os09g27500.1, LOC_Os04g09900.1, LOC_Os06g37364.1, LOC_Os02g36220.1, LOC_Os09g27510.1, LOC_Os06g37300.1, LOC_Os02g36070.1, LOC_Os04g09920.1]",1.81e-06,"Kit_all",5.74232142513081
"7","Zeatin biosynthesis","A09100 Metabolism",20,1062,86,15766,7.92e-07,3.45245916,"[LOC_Os01g52790.1, LOC_Os01g43700.1, LOC_Os03g60960.1, LOC_Os04g47720.1, LOC_Os01g43710.1, LOC_Os07g11050.1, LOC_Os01g43750.1, LOC_Os07g13800.1, LOC_Os01g08110.1, LOC_Os01g08100.1, LOC_Os04g47770.1, LOC_Os11g25454.1, LOC_Os01g43774.1, LOC_Os01g71310.1, LOC_Os03g25480.1, LOC_Os07g13770.1, LOC_Os06g09210.1, LOC_Os03g59570.1, LOC_Os02g11130.1, LOC_Os01g09260.1]",1.28e-05,"MH63_all",4.89279003035213
"8","Zeatin biosynthesis","A09100 Metabolism",24,1060,86,15766,1.25e-09,4.150767881,"[LOC_Os07g23570.1, LOC_Os07g13634.1, LOC_Os01g52790.1, LOC_Os01g43700.1, LOC_Os08g33300.1, LOC_Os03g60960.1, LOC_Os04g44230.1, LOC_Os07g44140.1, LOC_Os04g47720.1, LOC_Os01g43710.1, LOC_Os07g11050.1, LOC_Os04g44240.1, LOC_Os01g43750.1, LOC_Os07g13800.1, LOC_Os01g08110.1, LOC_Os11g25454.1, LOC_Os01g43774.1, LOC_Os01g71310.1, LOC_Os04g46980.1, LOC_Os07g13770.1, LOC_Os06g09210.1, LOC_Os03g59570.1, LOC_Os02g11130.1, LOC_Os01g09260.1]",2.48e-08,"Kit_all",7.60554831917361
"9","Phenylpropanoid biosynthesis","A09100 Metabolism",91,1060,369,15766,0,3.668011454,"[LOC_Os01g59840.1, LOC_Os03g25340.1, LOC_Os07g44550.1, LOC_Os07g44590.1, LOC_Os03g52040.1, LOC_Os03g25280.1, LOC_Os11g02100.1, LOC_Os08g20730.1, LOC_Os07g48010.1, LOC_Os06g32980.1, LOC_Os10g02070.1, LOC_Os06g21570.1, LOC_Os02g56690.1, LOC_Os02g56700.1, LOC_Os02g56460.1, LOC_Os01g73190.1, LOC_Os06g29470.1, LOC_Os01g18110.1, LOC_Os04g43400.1, LOC_Os03g25300.1, LOC_Os02g41650.1, LOC_Os04g59190.1, LOC_Os03g47860.1, LOC_Os07g34710.1, LOC_Os04g39880.1, LOC_Os09g23530.1, LOC_Os06g33080.1, LOC_Os03g25330.1, LOC_Os04g43800.1, LOC_Os04g15920.1, LOC_Os04g52280.1, LOC_Os03g13180.1, LOC_Os06g35700.1, LOC_Os06g32990.1, LOC_Os06g33100.1, LOC_Os03g02180.1, LOC_Os10g29470.1, LOC_Os07g48040.1, LOC_Os07g44440.1, LOC_Os02g56680.1, LOC_Os09g31430.1, LOC_Os09g04050.1, LOC_Os06g48020.1, LOC_Os02g03870.1, LOC_Os04g59160.1, LOC_Os08g06190.1, LOC_Os01g40860.1, LOC_Os03g08720.1, LOC_Os06g08640.1, LOC_Os07g46280.1, LOC_Os04g09720.1, LOC_Os06g33090.1, LOC_Os09g33680.1, LOC_Os05g30300.1, LOC_Os06g48010.1, LOC_Os09g23560.1, LOC_Os06g32960.1, LOC_Os06g35560.1, LOC_Os01g15810.1, LOC_Os05g25640.1, LOC_Os03g22010.1, LOC_Os07g44430.1, LOC_Os02g46260.1, LOC_Os05g35290.1, LOC_Os03g13210.1, LOC_Os08g16910.1, LOC_Os02g41670.1, LOC_Os11g10460.1, LOC_Os05g30350.1, LOC_Os06g20150.1, LOC_Os09g29490.1, LOC_Os06g41810.1, LOC_Os06g48000.1, LOC_Os04g55740.1, LOC_Os06g39230.1, LOC_Os11g07960.1, LOC_Os05g04450.1, LOC_Os12g04080.1, LOC_Os05g04490.1, LOC_Os11g48110.1, LOC_Os05g30250.1, LOC_Os07g01410.1, LOC_Os02g14430.1, LOC_Os03g11420.1, LOC_Os07g02440.1, LOC_Os04g34630.1, LOC_Os09g25150.1, LOC_Os08g06170.1, LOC_Os02g14160.1, LOC_Os10g36848.1, LOC_Os02g41680.1]",0,"Kit_all",20
"10","Phenylpropanoid biosynthesis","A09100 Metabolism",98,1062,369,15766,2.22e-16,3.942727073,"[LOC_Os01g59840.1, LOC_Os03g02920.1, LOC_Os09g15500.1, LOC_Os10g39160.1, LOC_Os09g32964.1, LOC_Os07g44590.1, LOC_Os06g08610.1, LOC_Os06g46940.1, LOC_Os11g02100.1, LOC_Os08g20730.1, LOC_Os06g21570.1, LOC_Os02g56700.1, LOC_Os01g73190.1, LOC_Os04g43400.1, LOC_Os03g25300.1, LOC_Os04g59190.1, LOC_Os03g47860.1, LOC_Os04g39880.1, LOC_Os03g25330.1, LOC_Os04g43800.1, LOC_Os04g15920.1, LOC_Os05g04470.1, LOC_Os07g01370.1, LOC_Os12g39170.1, LOC_Os04g59160.1, LOC_Os06g08640.1, LOC_Os07g46280.1, LOC_Os08g38920.1, LOC_Os09g23560.1, LOC_Os11g40690.1, LOC_Os10g41720.1, LOC_Os08g02110.1, LOC_Os01g15810.1, LOC_Os10g23310.1, LOC_Os10g23820.1, LOC_Os01g18970.1, LOC_Os06g24180.1, LOC_Os06g48000.1, LOC_Os05g04450.1, LOC_Os07g01410.1, LOC_Os08g14760.1, LOC_Os02g14160.1, LOC_Os10g36848.1, LOC_Os03g25340.1, LOC_Os10g01134.1, LOC_Os07g44550.1, LOC_Os03g53800.1, LOC_Os03g25280.1, LOC_Os05g37700.1, LOC_Os05g41990.1, LOC_Os01g15830.1, LOC_Os08g39870.1, LOC_Os01g18110.1, LOC_Os07g47990.1, LOC_Os07g34710.1, LOC_Os09g23530.1, LOC_Os02g58720.1, LOC_Os03g25370.1, LOC_Os06g35700.1, LOC_Os08g42030.1, LOC_Os07g44440.1, LOC_Os09g04050.1, LOC_Os02g03870.1, LOC_Os08g06190.1, LOC_Os12g02080.1, LOC_Os03g08720.1, LOC_Os10g02040.1, LOC_Os10g17650.1, LOC_Os03g13200.1, LOC_Os11g24510.1, LOC_Os11g42290.1, LOC_Os09g33680.1, LOC_Os06g48010.1, LOC_Os01g73170.1, LOC_Os05g04440.1, LOC_Os05g25640.1, LOC_Os03g22010.1, LOC_Os04g56910.1, LOC_Os02g14170.1, LOC_Os05g04500.1, LOC_Os03g13210.1, LOC_Os11g10460.1, LOC_Os05g30350.1, LOC_Os09g15510.1, LOC_Os09g29490.1, LOC_Os07g31610.1, LOC_Os06g41810.1, LOC_Os11g07960.1, LOC_Os07g49360.1, LOC_Os07g44460.1, LOC_Os09g37200.1, LOC_Os05g04410.1, LOC_Os03g11420.1, LOC_Os04g56180.1, LOC_Os12g08920.1, LOC_Os04g34630.1, LOC_Os01g36240.1, LOC_Os08g06170.1]",1.08e-14,"MH63_all",13.9665758423887
