Chao1
	diff	lwr	upr	p adj
croot-rroot	49.5872926093512	-70.5133309761298	169.687916194832	0.847909681332818
kroot-rroot	99.8626248670108	-20.2379987184702	219.963248452492	0.15553901654114
Ksoil-rroot	294.624793271487	174.524169686006	414.725416856968	1.72734088810245e-07
rsoil-rroot	308.142922186706	182.180325499501	434.105518873911	1.83173872736475e-07
csoil-rroot	358.869078144078	238.768454558597	478.969701729559	2.0894963537188e-09
input-rroot	677.375854700855	543.09927546223	811.65243393948	1.02806652080289e-13
kroot-croot	50.2753322576596	-69.8252913278213	170.375955843141	0.839583894885108
Ksoil-croot	245.037500662136	124.936877076655	365.138124247617	6.45030673718239e-06
rsoil-croot	258.555629577355	132.59303289015	384.51822626456	5.77591195383143e-06
csoil-croot	309.281785534727	189.181161949246	429.382409120208	6.12056666460248e-08
input-croot	627.788562091504	493.511982852879	762.065141330129	1.2090328738168e-13
Ksoil-kroot	194.762168404476	74.6615448189955	314.862791989957	0.000277013609131571
rsoil-kroot	208.280297319695	82.3177006324902	334.242894006901	0.000208262372500378
csoil-kroot	259.006453277067	138.905829691586	379.107076862548	2.29267600393435e-06
input-kroot	577.513229833844	443.236650595219	711.789809072469	2.90989454754254e-13
rsoil-Ksoil	13.518128915219	-112.444467771986	139.480725602424	0.999862158430392
csoil-Ksoil	64.2442848725908	-55.8563387128901	184.344908458072	0.632688347187382
input-Ksoil	382.751061429368	248.474482190743	517.027640667993	6.28937779634242e-09
csoil-rsoil	50.7261559573718	-75.2364407298334	176.688752644577	0.862126130428903
input-rsoil	369.232932514149	229.688618009441	508.777247018857	3.37917978043834e-08
input-csoil	318.506776556777	184.230197318152	452.783355795402	3.4742129018106e-07
