Observed
	diff	lwr	upr	p adj
croot-rroot	47.4999999999999	-71.4723278512132	166.472327851213	0.866785957901693
kroot-rroot	95.6666666666667	-23.3056611845464	214.63899451788	0.183432296246391
Ksoil-rroot	291.833333333333	172.86100548212	410.805661184546	1.73027753458399e-07
rsoil-rroot	304.7	179.920769862248	429.479230137752	1.90208075068199e-07
csoil-rroot	350.666666666667	231.694338815453	469.63899451788	2.88519275137844e-09
input-rroot	673.5	540.484893741648	806.515106258352	1.02584607475364e-13
kroot-croot	48.1666666666668	-70.8056611845462	167.13899451788	0.859186007409969
Ksoil-croot	244.333333333333	125.36100548212	363.305661184547	5.72149881394868e-06
rsoil-croot	257.2	132.420769862248	381.979230137753	5.349229540208e-06
csoil-croot	303.166666666667	184.194338815454	422.13899451788	7.68707555387493e-08
input-croot	626	492.984893741648	759.015106258352	1.17683640610267e-13
Ksoil-kroot	196.166666666667	77.1943388154536	315.13899451788	0.00021715881988249
rsoil-kroot	209.033333333333	84.254103195581	333.812563471086	0.000171396189956208
csoil-kroot	255	136.027672148787	373.972327851213	2.57755047528008e-06
input-kroot	577.833333333333	444.818227074982	710.848439591685	2.4713564528156e-13
rsoil-Ksoil	12.8666666666667	-111.912563471086	137.645896804419	0.999890823050826
csoil-Ksoil	58.8333333333331	-60.1389945178799	177.805661184546	0.710836869784485
input-Ksoil	381.666666666667	248.651560408315	514.681772925019	5.39914157826615e-09
csoil-rsoil	45.9666666666665	-78.8125634710859	170.745896804419	0.904463669340043
input-rsoil	368.8	230.566646671817	507.033353328183	2.81395071688451e-08
input-csoil	322.833333333334	189.818227074982	455.848439591686	2.16124316221311e-07
