Shannon
	diff	lwr	upr	p adj
croot-rroot	0.267202217229104	-0.28769955802855	0.822103992486758	0.734891273434237
kroot-rroot	0.414466556531691	-0.140435218725963	0.969368331789345	0.253588877623995
Ksoil-rroot	1.48178999025279	0.926888214995141	2.03669176551045	2.75804115101863e-08
rsoil-rroot	1.58390272761345	1.00191683585789	2.165888619369	1.80460504317637e-08
csoil-rroot	1.64619777237398	1.09129599711632	2.20109954763163	2.47661491314943e-09
input-rroot	2.93641685588464	2.31601781072893	3.55681590104035	1.14908083048704e-13
kroot-croot	0.147264339302587	-0.407637435955067	0.702166114560241	0.979349853400637
Ksoil-croot	1.21458777302369	0.659685997766037	1.76948954828134	1.72392954655987e-06
rsoil-croot	1.31670051038434	0.734714618628791	1.8986864021399	9.02450096429419e-07
csoil-croot	1.37899555514487	0.824093779887218	1.93389733040253	1.31415770709964e-07
input-croot	2.66921463865553	2.04881559349982	3.28961368381125	2.89213097914853e-13
Ksoil-kroot	1.0673234337211	0.51242165846345	1.62222520897876	1.8373068156996e-05
rsoil-kroot	1.16943617108176	0.587450279326203	1.75142206283731	8.50096085369678e-06
csoil-kroot	1.23173121584228	0.676829440584631	1.78663299109994	1.31300490302522e-06
input-kroot	2.52195029935295	1.90155125419723	3.14234934450866	9.58011447949048e-13
rsoil-Ksoil	0.102112737360652	-0.479873154394901	0.684098629116204	0.997715304348158
csoil-Ksoil	0.164407782121181	-0.390493993136473	0.719309557378835	0.964505670932137
input-Ksoil	1.45462686563184	0.834227820476131	2.07502591078756	4.40414597902006e-07
csoil-rsoil	0.0622950447605293	-0.519690846995023	0.644280936516082	0.999864240462089
input-rsoil	1.35251412827119	0.707776527965044	1.99725172857734	3.86339037694583e-06
input-csoil	1.29021908351066	0.66982003835495	1.91061812866637	4.53934288058289e-06
