Simpson
	diff	lwr	upr	p adj
croot-rroot	0.0051086646711378	-0.053303512971544	0.0635208423138195	0.999958439871901
kroot-rroot	0.0163890360396348	-0.0420231416030469	0.0748012136823166	0.972767150586656
Ksoil-rroot	0.0704854011717827	0.012073223529101	0.128897578814464	0.0100511624336835
csoil-rroot	0.0759210879079834	0.0175089102653016	0.134333265550665	0.00463314179346619
rsoil-rroot	0.0811575021186844	0.0198942933661531	0.142420710871216	0.00374799935710357
input-rroot	0.108108802488345	0.04280200252693	0.17341560244976	0.000204763279416098
kroot-croot	0.011280371368497	-0.0471318062741847	0.0696925490111788	0.996124887231149
Ksoil-croot	0.0653767365006449	0.00696455885796315	0.123788914143327	0.0202700069855145
csoil-croot	0.0708124232368456	0.0124002455941638	0.129224600879527	0.0096007950531255
rsoil-croot	0.0760488374475466	0.0147856286950153	0.137312046200078	0.0075556018047801
input-croot	0.103000137817207	0.0376933378557922	0.168306937778622	0.000412120622842904
Ksoil-kroot	0.0540963651321479	-0.00431581251053387	0.11250854277483	0.0841787039891011
csoil-kroot	0.0595320518683485	0.00111987422566678	0.11794422951103	0.0434522953685393
rsoil-kroot	0.0647684660790496	0.00350525732651829	0.126031674831581	0.0327009343439656
input-kroot	0.09171976644871	0.0264129664872951	0.157026566410125	0.00188796718405237
csoil-Ksoil	0.00543568673620065	-0.0529764909064811	0.0638478643788824	0.999940147591179
rsoil-Ksoil	0.0106721009469017	-0.0505911078056296	0.0719353096994331	0.997804620855332
input-Ksoil	0.0376234013165622	-0.0276833986448527	0.102930201277977	0.550786575124265
rsoil-csoil	0.00523641421070109	-0.0560267945418302	0.0664996229632324	0.999963694498496
input-csoil	0.0321877145803615	-0.0331190853810534	0.0974945145417764	0.713917341561769
input-rsoil	0.0269513003696604	-0.0409175169980843	0.0948201177374051	0.869633007604457
