"","C1","C2","C3","C4","C5","C6","K1","K2","K3","K4","K5","K6","R1","R2","R3","R4","R5","R6","SC1","SC2","SC3","SC4","SC5","SC6","SK1","SK2","SK3","SK4","SK5","SK6","SR1","SR3","SR4","SR5","SR6"
"ASV_1",6169,5022,5616,4933,5842,2567,5088,5394,5702,12709,5664,3217,11033,5225,7569,8033,3667,9019,652,777,586,1154,816,825,343,2145,7624,219,352,3140,1941,2185,2191,652,540
"ASV_2",1863,5915,5569,7650,9786,14865,3420,3054,4235,5713,4176,11669,813,2497,5741,5091,1494,1286,131,160,338,184,105,207,116,175,189,170,127,141,57,91,71,62,171
"ASV_3",3583,4694,3197,2556,2222,1624,5781,3469,3082,1739,4487,1945,5418,8965,4797,4132,6227,3262,65,26,136,164,108,52,136,76,21,76,41,78,102,176,119,24,107
"ASV_4",37,53,36,45,39,76,63,33,93,41,59,68,14,52,20,22,8,24,8672,4823,4981,4784,5132,3460,3999,2914,1585,2292,4698,1929,4089,3476,4826,2199,3005
"ASV_5",2859,1827,3698,2730,920,561,1564,1043,1933,1370,2484,979,2784,1814,4717,3020,3138,3212,27,9,114,60,4,46,14,56,21,28,20,16,27,4,17,15,18
"ASV_6",1337,1565,919,1506,1416,882,825,1485,1026,390,1432,131,2802,762,579,556,4724,1810,72,473,1070,322,184,53,102,241,0,110,77,123,209,138,319,96,68
"ASV_7",168,123,158,20,0,176,217,186,423,0,210,0,193,198,178,682,218,111,2365,2293,0,0,1935,1291,896,0,0,7414,2510,6,1130,1032,1642,6044,155
"ASV_8",646,885,1445,1585,1626,799,743,2953,1096,1054,1197,718,782,713,697,1769,228,422,44,53,95,71,88,244,129,145,109,49,57,61,84,133,87,38,34
"ASV_9",915,631,843,924,878,1027,759,1295,1179,667,877,880,373,666,621,643,228,492,154,325,667,345,153,874,865,433,701,230,352,428,178,437,317,148,202
"ASV_10",522,341,646,453,219,278,569,1264,251,246,282,1143,395,451,343,364,671,947,153,1908,788,554,479,181,287,238,2833,95,394,1240,400,216,312,141,207
"ASV_11",0,0,0,0,0,1,3,2,1,3,3,0,0,0,0,0,0,2,1009,654,1009,928,1739,997,941,789,513,2002,1260,861,1585,753,928,989,2167
"ASV_12",227,465,242,121,255,0,82,22,274,414,139,363,31,40,29,48,145,101,397,28,973,1107,5,356,90,4965,11,4346,240,1716,61,41,189,210,2364
"ASV_13",26,5,8,13,14,0,14,5,9,12,5,0,12,12,9,10,14,55,61,27,1152,277,26,170,353,1331,0,269,1981,231,2430,660,2537,2107,1517
"ASV_14",765,455,148,388,91,145,817,849,763,26,574,61,220,485,120,86,336,999,199,26,133,54,82,146,216,65,0,99,120,10,66,177,27,14,233
"ASV_15",640,467,491,663,137,1085,551,902,882,109,197,1049,622,205,187,171,590,588,58,252,90,23,62,44,122,64,29,30,15,35,29,22,37,10,3
"ASV_16",622,601,57,913,14,310,226,232,204,0,183,75,265,595,555,95,4189,62,16,0,0,0,0,0,0,0,0,0,25,0,0,31,0,27,13
"ASV_17",115,137,85,8,181,33,277,182,42,132,299,356,75,57,35,265,111,93,69,31,301,1182,15,1338,161,937,691,0,38,706,103,12,896,137,5
"ASV_18",21,0,26,10,0,212,166,11,39,0,55,0,197,29,80,0,0,15,259,1972,0,0,397,0,588,0,0,0,1473,0,296,749,1562,1130,0
"ASV_19",33,33,23,37,17,0,33,36,24,0,26,0,0,18,9,0,13,14,1052,316,575,432,429,823,1162,170,0,444,552,62,739,940,504,363,717
"ASV_20",89,61,90,106,176,146,78,76,80,51,77,80,40,47,87,100,29,45,282,804,514,533,250,579,463,360,656,494,280,513,246,285,270,221,256
"ASV_21",430,541,672,339,577,17,473,359,596,474,502,178,615,402,175,45,265,402,23,0,155,130,34,131,68,81,16,53,31,30,25,36,42,47,29
"ASV_22",13,23,21,20,19,36,20,13,33,40,5,14,8,20,3,23,0,4,598,210,408,371,192,286,330,847,219,390,463,774,558,316,396,444,411
"ASV_23",544,179,386,131,302,433,355,222,277,194,331,477,288,369,342,73,479,737,117,74,76,92,26,79,115,43,41,62,64,24,23,48,48,36,48
"ASV_24",393,1050,265,26,211,554,127,205,260,20,233,534,698,276,253,299,585,907,0,0,0,0,18,16,22,0,0,0,0,36,0,0,0,0,0
"ASV_25",247,251,249,213,299,381,273,278,109,251,113,319,183,136,163,289,254,178,93,348,249,392,147,92,118,66,0,0,115,227,211,78,112,35,146
"ASV_26",108,207,369,122,298,71,84,296,489,267,224,898,136,177,606,631,281,167,52,0,0,12,9,22,0,69,33,48,0,64,0,0,0,399,0
"ASV_27",0,8,0,0,10,0,7,4,4,0,0,5,0,0,0,5,0,0,194,408,307,362,388,392,197,332,517,235,299,589,375,534,267,372,216
"ASV_28",0,4,0,1,10,0,15,1,9,0,0,0,0,0,0,3,0,0,295,540,351,310,813,177,157,348,296,130,276,452,501,314,335,491,275
