"","o1_xgl_root_1","o1_xgl_root_2","o1_xgl_root_3","o1_xgl_soil_1","o1_xgl_soil_2","o1_xgl_soil_3","o2_xgl_root_1","o2_xgl_root_2","o2_xgl_root_3","o2_xgl_soil_1","o2_xgl_soil_2","o2_xgl_soil_3","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","XF1_1","XF1_2","XF1_3","XF2_1","XF2_2","XF2_3"
"ASV_1",15325,6540,31243,455,907,1443,29716,23755,2278,1687,0,148,25192,27154,26304,270,240,209,33481,44172,24039,3085,4033,2006,24,22,28,0,0,27
"ASV_2",11171,50349,71,7,0,86,0,0,0,12,6,0,5234,5869,1296,198,509,204,3618,4962,25030,22,354,322,185,67,36,152,159,160
"ASV_3",4640,1656,6433,951,1322,970,22724,21021,766,27166,32,9528,405,169,43,82,380,87,281,543,391,85,50,99,0,0,0,0,0,61
"ASV_4",95,41,167,628,9236,9059,0,8,0,9,11,0,48,35,46,6717,6173,2900,248,49,304,8220,18900,29216,53,21,33,135,104,153
"ASV_5",0,0,0,0,0,0,0,0,20260,18,47,14958,2077,558,2254,480,1568,136,4346,4571,4544,478,498,619,0,11,0,0,0,0
"ASV_6",42852,2889,1554,1638,1607,6219,0,0,0,0,5,0,9,16,166,0,0,0,229,8,0,0,48,0,0,0,0,0,0,0
"ASV_7",1164,690,562,523,405,921,1240,15371,11610,1199,9304,384,16,0,0,7,20,0,1171,1230,1239,69,163,219,0,14,0,4,8,12
"ASV_8",887,196,221,16,10,41,214,16162,17016,195,230,32,6,0,0,0,0,0,66,26,58,0,20,0,0,0,0,0,0,0
"ASV_9",101,99,522,21,272,50,0,18,0,0,0,0,2900,2063,3058,122,93,60,2192,7794,5910,153,228,429,55,0,0,22,50,40
"ASV_10",636,656,774,67,506,458,0,0,0,0,0,0,3427,4143,2274,239,220,145,2074,1568,1652,231,330,1610,83,27,23,0,0,0
"ASV_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,39,0,1553,660,332,4554,5486,7355
"ASV_12",238,54,595,0,148,120,0,1592,56,1964,0,33,882,2094,1433,240,591,209,951,2338,4902,214,183,806,0,0,0,0,11,20
"ASV_13",0,0,0,47,13,0,0,16,0,172,16080,0,0,0,8,40,252,0,0,0,0,9,13,11,0,0,0,0,0,0
"ASV_14",0,31,0,0,0,14,6,7,0,12,0,20,36,26,0,1479,2156,936,26,56,60,2024,1827,6781,133,40,49,0,18,44
