"","S11R1","S11R2","S11R3","S11R4","S11R5","S11R6","S11S1","S11S2","S11S3","S11S4","S11S5","S11S6"
"ASV_1",21949,30782,38506,32219,24254,23888,66076,68292,73128,61763,70285,86164
"ASV_2",53469,56616,39084,57088,47894,52069,28023,27036,30522,35152,39279,30104
"ASV_3",1607,1568,500,1271,1048,992,46501,32135,32501,39368,39935,30730
"ASV_4",17289,22070,3882,1799,24738,15608,4006,2629,3587,3595,4147,3589
"ASV_5",21731,9146,20259,17102,6238,11213,2227,2161,2481,2435,2566,2839
"ASV_6",1219,544,894,603,655,471,679,480,650,676,603,606
"ASV_7",982,918,1012,1726,1317,1451,9,26,0,34,30,0
"ASV_8",268,330,409,364,271,280,860,864,937,802,941,1020
"ASV_9",603,677,444,640,486,629,397,378,390,474,503,346
"ASV_10",769,375,593,392,413,281,420,312,441,416,424,378
"ASV_11",934,430,1062,1314,595,692,3,7,0,14,18,14
"ASV_12",977,1041,585,1177,306,958,7,0,18,13,0,0
"ASV_13",963,758,326,981,559,897,0,0,0,4,0,0
"ASV_14",339,413,657,867,570,520,44,0,37,93,93,0
"ASV_15",901,391,372,818,256,596,0,0,0,0,0,0
"ASV_16",345,405,584,703,574,537,0,63,0,0,0,54
"ASV_17",182,32,89,58,22,46,558,453,391,327,497,447
"ASV_18",0,0,0,0,0,0,587,405,431,560,565,381
"ASV_19",14,5,24,0,0,3,330,639,314,374,300,393
"ASV_20",208,244,319,418,228,296,7,22,3,14,17,10
"ASV_21",88,94,103,164,95,117,10,0,0,15,18,0
"ASV_22",7,12,19,9,0,13,86,93,52,90,80,79
"ASV_23",0,0,0,8,5,11,67,61,71,69,120,105
"ASV_24",0,0,0,0,0,0,86,61,55,74,68,61
"ASV_25",0,0,0,0,0,0,37,44,30,36,74,34
"ASV_26",0,0,0,0,0,0,36,34,53,41,46,42
"ASV_27",33,33,57,28,17,35,0,7,0,10,15,3
"ASV_28",7,0,6,0,4,0,22,54,33,54,49,7
"ASV_29",0,0,0,0,0,0,8,191,0,26,0,7
"ASV_30",0,0,0,0,0,0,33,30,19,32,49,53
"ASV_31",32,34,35,51,18,37,0,0,0,0,0,0
"ASV_32",19,25,13,31,15,33,0,0,0,0,0,0
"ASV_33",28,22,8,39,13,25,0,0,0,0,0,0
"ASV_34",12,21,32,44,6,15,0,0,0,0,0,0
