geno,variable,value,group,
cerk1,Rhodocyclaceae.g_,0.004801138,cerk1_soil,ALL
cerk1,Rhodocyclaceae.g_,0.015173967,cerk1_soil,ALL
cerk1,Rhodocyclaceae.g_,0.036660542,cerk1_soil,ALL
cerk1,Rhodocyclaceae.g_,0.012506668,cerk1_soil,ALL
cerk1,Rhodocyclaceae.g_,0.00779444,cerk1_soil,ALL
cerk1,Rhodocyclaceae.g_,0.005601328,cerk1_soil,ALL
Kitaake,Rhodocyclaceae.g_,0.005038231,cerk1_soil,ALL
Kitaake,Rhodocyclaceae.g_,0.00841681,cerk1_soil,ALL
Kitaake,Rhodocyclaceae.g_,0.001244739,cerk1_soil,ALL
Kitaake,Rhodocyclaceae.g_,0.004652955,cerk1_soil,ALL
Kitaake,Rhodocyclaceae.g_,0.006105151,cerk1_soil,ALL
Kitaake,Rhodocyclaceae.g_,0.004326952,cerk1_soil,ALL
cerk1,Prolixibacteraceae,0.31998696,cerk1_soil,ALL
cerk1,Prolixibacteraceae,0.184547448,cerk1_soil,ALL
cerk1,Prolixibacteraceae,0.196283564,cerk1_soil,ALL
cerk1,Prolixibacteraceae,0.186651651,cerk1_soil,ALL
cerk1,Prolixibacteraceae,0.195661194,cerk1_soil,ALL
cerk1,Prolixibacteraceae,0.147827633,cerk1_soil,ALL
Kitaake,Prolixibacteraceae,0.181672693,cerk1_soil,ALL
Kitaake,Prolixibacteraceae,0.118428072,cerk1_soil,ALL
Kitaake,Prolixibacteraceae,0.084790469,cerk1_soil,ALL
Kitaake,Prolixibacteraceae,0.111078181,cerk1_soil,ALL
Kitaake,Prolixibacteraceae,0.191097149,cerk1_soil,ALL
Kitaake,Prolixibacteraceae,0.089769427,cerk1_soil,ALL
cerk1,WCHB1.32,0.31103669,cerk1_soil,ALL
cerk1,WCHB1.32,0.177819928,cerk1_soil,ALL
cerk1,WCHB1.32,0.184251082,cerk1_soil,ALL
cerk1,WCHB1.32,0.177849564,cerk1_soil,ALL
cerk1,WCHB1.32,0.186918381,cerk1_soil,ALL
cerk1,WCHB1.32,0.141396479,cerk1_soil,ALL
Kitaake,WCHB1.32,0.172544603,cerk1_soil,ALL
Kitaake,WCHB1.32,0.111078181,cerk1_soil,ALL
Kitaake,WCHB1.32,0.07388418,cerk1_soil,ALL
Kitaake,WCHB1.32,0.099875526,cerk1_soil,ALL
Kitaake,WCHB1.32,0.182295063,cerk1_soil,ALL
Kitaake,WCHB1.32,0.077440579,cerk1_soil,ALL
Kitaake,Pseudomonadales,0.063037164,fls2_root,ALL
Kitaake,Pseudomonadales,0.184873451,fls2_root,ALL
Kitaake,Pseudomonadales,0.09931243,fls2_root,ALL
Kitaake,Pseudomonadales,0.092881276,fls2_root,ALL
Kitaake,Pseudomonadales,0.114930947,fls2_root,ALL
Kitaake,Pseudomonadales,0.096822951,fls2_root,ALL
fls2,Pseudomonadales,0.052397605,fls2_root,ALL
fls2,Pseudomonadales,0.050678679,fls2_root,ALL
fls2,Pseudomonadales,0.063096438,fls2_root,ALL
fls2,Pseudomonadales,0.108262699,fls2_root,ALL
fls2,Pseudomonadales,0.019234189,fls2_root,ALL
fls2,Pseudomonadales,0.044929168,fls2_root,ALL
Kitaake,Pseudomonadaceae,0.062888981,fls2_root,ALL
Kitaake,Pseudomonadaceae,0.184843815,fls2_root,ALL
Kitaake,Pseudomonadaceae,0.099104973,fls2_root,ALL
Kitaake,Pseudomonadaceae,0.092762729,fls2_root,ALL
Kitaake,Pseudomonadaceae,0.114930947,fls2_root,ALL
Kitaake,Pseudomonadaceae,0.096822951,fls2_root,ALL
fls2,Pseudomonadaceae,0.052279059,fls2_root,ALL
fls2,Pseudomonadaceae,0.050678679,fls2_root,ALL
fls2,Pseudomonadaceae,0.063096438,fls2_root,ALL
fls2,Pseudomonadaceae,0.108203426,fls2_root,ALL
fls2,Pseudomonadaceae,0.019234189,fls2_root,ALL
fls2,Pseudomonadaceae,0.044929168,fls2_root,ALL
Kitaake,Pseudomonas,0.060932962,fls2_root,ALL
Kitaake,Pseudomonas,0.166261632,fls2_root,ALL
Kitaake,Pseudomonas,0.092169996,fls2_root,ALL
Kitaake,Pseudomonas,0.084257009,fls2_root,ALL
Kitaake,Pseudomonas,0.100912809,fls2_root,ALL
Kitaake,Pseudomonas,0.075780926,fls2_root,ALL
fls2,Pseudomonas,0.050115583,fls2_root,ALL
fls2,Pseudomonas,0.049671033,fls2_root,ALL
fls2,Pseudomonas,0.060962599,fls2_root,ALL
fls2,Pseudomonas,0.099342066,fls2_root,ALL
fls2,Pseudomonas,0.018819276,fls2_root,ALL
fls2,Pseudomonas,0.042410053,fls2_root,ALL
Kitaake,Enterobacteriaceae,0.00823899,fls2_root,ALL
Kitaake,Enterobacteriaceae,0.017070713,fls2_root,ALL
Kitaake,Enterobacteriaceae,0.007290617,fls2_root,ALL
Kitaake,Enterobacteriaceae,0.006549701,fls2_root,ALL
Kitaake,Enterobacteriaceae,0.011024836,fls2_root,ALL
Kitaake,Enterobacteriaceae,0.027650999,fls2_root,ALL
fls2,Enterobacteriaceae,0.005067868,fls2_root,ALL
fls2,Enterobacteriaceae,0.003052575,fls2_root,ALL
fls2,Enterobacteriaceae,0.008001897,fls2_root,ALL
fls2,Enterobacteriaceae,0.00734989,fls2_root,ALL
fls2,Enterobacteriaceae,0.001333649,fls2_root,ALL
fls2,Enterobacteriaceae,0.005423508,fls2_root,ALL
Kitaake,Enterobacteriales,0.00823899,fls2_root,ALL
Kitaake,Enterobacteriales,0.017070713,fls2_root,ALL
Kitaake,Enterobacteriales,0.007290617,fls2_root,ALL
Kitaake,Enterobacteriales,0.006549701,fls2_root,ALL
Kitaake,Enterobacteriales,0.011024836,fls2_root,ALL
Kitaake,Enterobacteriales,0.027650999,fls2_root,ALL
fls2,Enterobacteriales,0.005067868,fls2_root,ALL
fls2,Enterobacteriales,0.003052575,fls2_root,ALL
fls2,Enterobacteriales,0.008001897,fls2_root,ALL
fls2,Enterobacteriales,0.00734989,fls2_root,ALL
fls2,Enterobacteriales,0.001333649,fls2_root,ALL
fls2,Enterobacteriales,0.005423508,fls2_root,ALL
Kitaake,Massilia,0.016063067,fls2_root,ALL
Kitaake,Massilia,0.022731314,fls2_root,ALL
Kitaake,Massilia,0.022672041,fls2_root,ALL
Kitaake,Massilia,0.024242783,fls2_root,ALL
Kitaake,Massilia,0.019678739,fls2_root,ALL
Kitaake,Massilia,0.0166558,fls2_root,ALL
fls2,Massilia,0.013840318,fls2_root,ALL
fls2,Massilia,0.00859463,fls2_root,ALL
fls2,Massilia,0.011439749,fls2_root,ALL
fls2,Massilia,0.018404363,fls2_root,ALL
fls2,Massilia,0.006608974,fls2_root,ALL
fls2,Massilia,0.017604173,fls2_root,ALL
Kitaake,Firmicutes,0.016448343,fls2_root,ALL
Kitaake,Firmicutes,0.014610871,fls2_root,ALL
Kitaake,Firmicutes,0.023531504,fls2_root,ALL
Kitaake,Firmicutes,0.018137633,fls2_root,ALL
Kitaake,Firmicutes,0.015114694,fls2_root,ALL
Kitaake,Firmicutes,0.02489479,fls2_root,ALL
fls2,Firmicutes,0.004682591,fls2_root,ALL
fls2,Firmicutes,0.008446447,fls2_root,ALL
fls2,Firmicutes,0.013514315,fls2_root,ALL
fls2,Firmicutes,0.021397665,fls2_root,ALL
fls2,Firmicutes,0.006312607,fls2_root,ALL
fls2,Firmicutes,0.012358485,fls2_root,ALL
Kitaake,Proteobacteria,0.956819394,fls2_root,ALL
Kitaake,Proteobacteria,0.970126252,fls2_root,ALL
Kitaake,Proteobacteria,0.954152095,fls2_root,ALL
Kitaake,Proteobacteria,0.960109063,fls2_root,ALL
Kitaake,Proteobacteria,0.975401577,fls2_root,ALL
Kitaake,Proteobacteria,0.961946535,fls2_root,ALL
fls2,Proteobacteria,0.988915891,fls2_root,ALL
fls2,Proteobacteria,0.963487642,fls2_root,ALL
fls2,Proteobacteria,0.979313615,fls2_root,ALL
fls2,Proteobacteria,0.963309822,fls2_root,ALL
fls2,Proteobacteria,0.990130994,fls2_root,ALL
fls2,Proteobacteria,0.981566001,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.908096734,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.928071839,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.896360619,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.928723846,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.932013514,fls2_root,ALL
Kitaake,Gammaproteobacteria,0.917847193,fls2_root,ALL
fls2,Gammaproteobacteria,0.952373896,fls2_root,ALL
fls2,Gammaproteobacteria,0.928605299,fls2_root,ALL
fls2,Gammaproteobacteria,0.955159742,fls2_root,ALL
fls2,Gammaproteobacteria,0.920307036,fls2_root,ALL
fls2,Gammaproteobacteria,0.960316519,fls2_root,ALL
fls2,Gammaproteobacteria,0.945764922,fls2_root,ALL
Kitaake,Methylibium,0.047566831,fls2_root,ALL
Kitaake,Methylibium,0.031829767,fls2_root,ALL
Kitaake,Methylibium,0.058917669,fls2_root,ALL
Kitaake,Methylibium,0.038231284,fls2_root,ALL
Kitaake,Methylibium,0.071513248,fls2_root,ALL
Kitaake,Methylibium,0.030051568,fls2_root,ALL
fls2,Methylibium,0.087517041,fls2_root,ALL
fls2,Methylibium,0.053849801,fls2_root,ALL
fls2,Methylibium,0.145753067,fls2_root,ALL
fls2,Methylibium,0.090836346,fls2_root,ALL
fls2,Methylibium,0.093888922,fls2_root,ALL
fls2,Methylibium,0.093207279,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.836168573,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.725801672,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.789075929,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.829292869,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.806057732,fls2_root,ALL
Kitaake,Betaproteobacteriales,0.793373244,fls2_root,ALL
fls2,Betaproteobacteriales,0.894760239,fls2_root,ALL
fls2,Betaproteobacteriales,0.874755498,fls2_root,ALL
fls2,Betaproteobacteriales,0.884061407,fls2_root,ALL
