SampleID,Geno,Compartment,Group
SK1,Kitaake,soil,Ksoil
SK2,Kitaake,soil,Ksoil
SK3,Kitaake,soil,Ksoil
SK4,Kitaake,soil,Ksoil
SK5,Kitaake,soil,Ksoil
SK6,Kitaake,soil,Ksoil
SC1,cerk1,soil,csoil
SC2,cerk1,soil,csoil
SC3,cerk1,soil,csoil
SC4,cerk1,soil,csoil
SC5,cerk1,soil,csoil
SC6,cerk1,soil,csoil
SR1,fls2,soil,rsoil
SR2,fls2,soil,rsoil
SR3,fls2,soil,rsoil
SR4,fls2,soil,rsoil
SR5,fls2,soil,rsoil
SR6,fls2,soil,rsoil
XF1,input,input,input
XF2,input,input,input
XF3,input,input,input
XF4,input,input,input
XF5,input,input,input
XF6,input,input,input
R1,fls2,root,rroot
R2,fls2,root,rroot
R3,fls2,root,rroot
R4,fls2,root,rroot
R5,fls2,root,rroot
R6,fls2,root,rroot
K1,Kitaake,root,kroot
K2,Kitaake,root,kroot
K3,Kitaake,root,kroot
K4,Kitaake,root,kroot
K5,Kitaake,root,kroot
K6,Kitaake,root,kroot
C1,cerk1,root,croot
C2,cerk1,root,croot
C3,cerk1,root,croot
C4,cerk1,root,croot
C5,cerk1,root,croot
C6,cerk1,root,croot
