"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107279218",61.2111104979872,60.4963924837061,37.4402523698168,6192.51073381407,5144.43737733314,5871.42078479138,2894.58610854835,6.7896293948136,0.167242331555686,40.5975528543315,0,0
"LOC4340812",738.064736196885,700.548224961316,622.01873823491,9235.84688220653,9018.06894846166,10219.080462458,5088.93799875321,3.79125828360588,0.0983909072494159,38.53260824189,0,0
"LOC4326391",17.6570511051886,14.5191341960895,22.9747003178421,5315.01387408156,5359.09500548459,6838.72305757367,2927.99713712649,8.27539553047187,0.23448467886454,35.2918389830173,7.83449649315435e-273,1.59353658670759e-269
"LOC4343452",97.7023494487104,139.141702712524,97.0042902308889,5846.13039444597,6339.33763441956,8171.10393008346,3448.40338355685,5.93889222972429,0.168634795924444,35.2174780843283,1.08008569588313e-271,2.0279024357781e-268
"LOC4324116",694.510676804086,467.032149974211,607.553186182936,15473.5794936603,18669.5003282751,15568.3660419411,8580.0903128063,4.81162864417861,0.139004737937934,34.6148535334603,1.51035496332557e-262,2.31707493302088e-259
"LOC4347435",307.232689230282,348.459220706147,365.042460605713,3719.73997776961,4183.78327720287,3949.29755887562,2145.59253073171,3.53410648205895,0.104743996837515,33.7404203463924,1.47748482421184e-249,2.00346942163126e-246
"LOC9269383",22.3655980665723,20.5687734444601,35.7384227166433,4604.93417837696,7082.06935159759,7088.34945054974,3142.33762912533,7.86016977810458,0.238658826492033,32.9347541578017,6.99360950743752e-238,7.42174003728413e-235
"LOC4326932",43.5540593927986,49.607041836639,45.0984858090975,2138.89859559799,2047.00126009067,1828.51332854974,1025.44546187949,5.44647516100351,0.166675388775324,32.6771408845806,3.29940486525032e-234,3.35549474795958e-231
"LOC4331855",22.3655980665723,20.5687734444601,31.4838485837095,2928.83820287912,3155.38551495636,2513.9457992632,1445.43128953224,6.81676955933711,0.209190402881107,32.5864354456615,6.38411040388454e-233,6.23293466952055e-230
"LOC4352660",456.729055254212,614.643347634454,426.308328119959,11775.0072032965,12745.6027422552,10278.3667307898,6049.44290122502,4.54186487214495,0.140204256153031,32.3946290702301,3.266896469672e-230,3.0668618858367e-227
