,MH63_germfree2,MH63_germfree3,MH63_microbiota1,MH63_microbiota3,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Product,funrice,,,,
LOC4332926,368.0180224,423.1336875,15435.81353,16205.81969,8108.196233,5.322871992,0.134969222,39.43767269,0,0,peroxidase 2,-,,,,
LOC4343453,71.47856604,47.36571129,9960.031471,10640.85363,5179.932344,7.429854311,0.199312891,37.27733944,3.82E-304,1.42E-300,peroxidase 39,-,,,,
LOC4331302,1852.647158,1959.887876,30849.84774,32249.46231,16727.96127,4.048978376,0.110832267,36.53248731,3.38E-292,1.07E-288,cortical cell-delineating protein,Ltp1,,,,
LOC4324968,129.4341601,99.99427939,8887.112901,9912.330455,4757.217949,6.353022484,0.176884186,35.91628296,1.70E-282,4.73E-279,cytochrome b561 and DOMON domain-containing protein At3g07570,-,,,,
LOC4341933,55.05781438,46.31313993,4845.327774,4866.161199,2453.214982,6.578193106,0.194002045,33.90785441,5.10E-252,1.13E-248,peroxidase 16,-,,,,
LOC4330873,87.89931769,90.52113714,4342.110624,4259.058554,2194.897408,5.591662837,0.166822205,33.51869633,2.57E-246,4.77E-243,1-aminocyclopropane-1-carboxylate oxidase 1-like%2C transcript variant X1,OsACO3,,,,
LOC4337274,252.1068343,204.1988442,8205.075989,7657.135176,4079.629211,5.117316834,0.157645664,32.46087912,3.80E-231,6.51E-228,cysteine-rich receptor-like protein kinase 6,OsRMC|OsRLK,,,,
LOC112939299,28.01187047,24.20914133,4484.249409,4823.706469,2340.044222,7.474220465,0.24292116,30.76809148,7.01E-208,1.04E-204,WRKY transcription factor 22-like,OsWRKY31,,,,
LOC9266659,278.1868516,291.5622673,4837.30381,4900.974078,2577.006752,4.095807927,0.134264549,30.50550546,2.20E-204,3.06E-201,protein GOS9,GOS9,,,,
LOC4324959,983.3132463,1091.516502,15888.59434,14411.68278,8093.776718,3.868536827,0.13156014,29.40508285,4.73E-190,5.53E-187,cytochrome b561 and DOMON domain-containing protein At3g07570,-,,,,
LOC4331303,357.3928302,372.6102622,5471.19694,5994.607933,3048.951991,3.973852572,0.13772489,28.85355407,4.57E-183,5.08E-180,putative glycine-rich cell wall structural protein 1,qLTG3-1,,,,
LOC4331301,3571.030522,3816.623759,26911.22786,27208.38762,15376.81744,2.873068703,0.108470797,26.48702485,1.37E-154,1.17E-151,cortical cell-delineating protein,Ltp1,,,,
LOC9269196,303.3009424,196.8308447,12309.90654,14767.45342,6894.372939,5.756613589,0.220904761,26.0592554,1.06E-149,8.39E-147,cytochrome b561 and DOMON domain-containing protein At3g07570,-,,,,
LOC107276913,23.18223763,15.78857043,2705.222036,2802.861301,1386.763536,7.133385591,0.274356074,26.00046535,4.89E-149,3.75E-146,MADS-box transcription factor 23-like,-,,,,
LOC4349324,257.9023937,217.8822719,4500.297336,4054.426754,2257.627189,4.166577048,0.16162778,25.77884228,1.53E-146,1.10E-143,cortical cell-delineating protein,-,,,,
LOC4339080,2818.573726,2687.214687,19107.35005,18226.66486,10709.95083,2.761331696,0.110273127,25.04083968,2.20E-138,1.48E-135,zinc transporter 9-like%2C transcript variant X1,OsZIP9,,,,
LOC4333555,1465.310604,1423.076481,12477.2635,11341.35668,6676.751817,3.043542363,0.12165037,25.01876783,3.82E-138,2.50E-135,probable glutathione S-transferase GSTU1,-,,,,
LOC4346629,200.9127262,198.9359874,3242.827602,2874.185248,1629.215391,3.934772369,0.160223601,24.55800737,3.55E-133,2.13E-130,ethylene-responsive transcription factor 1-like,Sub1B,,,,
LOC112937322,1210.30599,1291.505061,8802.288142,8940.117129,5061.054081,2.82642587,0.115959508,24.37424859,3.21E-131,1.88E-128,disease resistance protein RGA2-like,-,,,,
LOC4332910,73.41041917,51.57599674,2838.190577,3572.990111,1634.041776,5.676106362,0.234877983,24.16619169,5.05E-129,2.61E-126,GDSL esterase/lipase At1g28650,-,,,,
LOC4324610,3068.748707,3455.591782,30574.74041,27382.45202,16120.38323,3.151166838,0.132802606,23.7282003,1.85E-124,8.92E-122,copper transporter 1-like,COPT1,,,,
LOC4341932,21.2503845,11.57828498,1898.240547,2062.450803,998.380005,6.900116125,0.303081641,22.76652624,9.84E-115,4.21E-112,peroxidase 16,-,,,,
