"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3"
"LOC107275246",0,0,0,0,0,0
"LOC107275247",0,0,0,0,0,0
"LOC107275248",6.85980489343041,6.93983033591842,6.87799483184689,7.00528640437681,7.06219302755402,7.11200269184758
"LOC107275249",7.8193101068962,7.76433838371456,7.91880682083501,6.26251404169001,6.53732889033937,6.85260980531409
"LOC107275250",11.6590575797092,11.6132826920252,11.6130686513794,11.6727532020601,11.6636361088823,11.6833696093816
"LOC107275251",4.20701146850939,4.02022659344282,4.28152862275415,3.9677119674075,4.34201459816498,4.06950462055085
"LOC107275252",9.72840777592784,9.71307079593895,9.77253885555684,9.84877646606231,9.70273776351877,9.49913965931247
"LOC107275253",10.3972740731348,10.1330231269619,10.0562474813004,10.8567651191465,10.7311867928385,10.6028120166535
"LOC107275254",3.17696109683329,2.18803212823083,2.17234609684349,2.17757166526987,2.17065235857583,2.18102361861153
"LOC107275256",12.7727919993027,12.7414603093858,12.8343160663452,12.9003335398504,12.7877257217155,12.7539100383397
"LOC107275257",2.8219323767418,2.76148006120376,2.71755257646936,2.63653060035944,2.51585482737204,2.5737888268002
"LOC107275258",0,0,0,0,0,0
"LOC107275259",9.47610296581045,9.22545194278324,9.1398887257989,9.6307005154495,9.84721145921996,9.54619455814094
"LOC107275260",5.26657621577492,5.62676167201505,5.67038047331316,5.78620903326369,4.48051491959322,5.82179540756994
"LOC107275261",11.8684520932392,11.8969682244344,11.8563144558251,11.7294169286873,11.6725080336937,11.5105397578906
"LOC107275263",9.58174118110461,9.38986284690472,9.60688480221993,9.58739236108095,9.70195524795993,9.54071363786347
"LOC107275264",10.2093363147358,9.98574027686857,10.0246506027002,10.9721866934174,11.2267756171155,11.0344183277784
"LOC107275265",11.9849192163112,10.7991713351581,11.7316369114047,16.1556923591945,15.6901392798389,15.2776617779292
"LOC107275266",0,0,0,0,0,0
"LOC107275269",1.47830242713049,1.47922203428621,1.48842499239996,1.53642925990614,1.54206548748233,1.56441794531621
"LOC107275271",-0.0199221402725458,0.0332553679878705,-0.0212621195174862,-0.0207864053209678,0.0173010850063413,0.026674298805053
"LOC107275272",-0.144998735542931,-0.0921225855010936,-0.152380300307703,-0.172477874454346,-0.173057639179752,-0.172181210240344
"LOC107275275",-1.95494870494864,-1.96491951604152,-1.9666977362061,-1.96607576126968,-1.96690726842406,-1.96568255903594
"LOC107275276",-1.48672841688263,-1.48654210431881,-1.48893424139222,-1.48809753436697,-1.46201717318148,-1.48756858206995
"LOC107275277",9.93593024135417,9.69300153521762,9.76540964973395,10.815859408764,11.0401051267224,11.0007557129698
"LOC107275278",5.10575637393586,5.1374517289263,5.16562988099012,5.27075895193485,5.37656771542845,5.4546125477547
"LOC107275279",5.52026071028767,5.00109222370175,5.19358216884521,6.52287021808371,6.3493089814414,6.37181193399051
"LOC107275280",5.81783157746515,5.24668994649498,5.60026368557103,5.59460875561223,5.26372107286202,5.09608397341837
"LOC107275281",0,0,0,0,0,0
"LOC107275282",6.39555636869304,6.44027618446036,6.23658444297313,6.65653280268871,6.65554472740233,6.53089812129821
"LOC107275286",11.4627611598792,11.9618491000405,12.03363804619,12.3264967397406,12.6509053454572,11.9019659848475
"LOC107275287",6.9902600826782,6.82740397833501,6.97607248895269,8.80081902816905,8.98350103103727,8.27282295700786
"LOC107275291",-0.375992057720646,-0.47843869101466,-0.479538512919844,-0.479181412804825,-0.479652308805395,-0.478940469738212
"LOC107275292",9.64471124737204,9.81609934539998,9.70602758495938,8.79620708570065,9.11975926635533,8.95218024948078
