"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3"
"LOC107275246",0,0,0,0
"LOC107275247",0,0,0,0
"LOC107275248",6.89734525615173,7.2030521514297,7.01548869494553,7.22637422089717
"LOC107275249",5.70310850376839,5.97490417602253,5.01284276627478,4.81178101730978
"LOC107275250",10.3720272112651,10.402996660549,10.4885262178217,10.3987254004376
"LOC107275251",5.48284120256132,5.37966739935065,5.63918039467287,5.37113493733785
"LOC107275252",7.66251874957503,7.72208576543439,7.67898787642531,7.72603612730071
"LOC107275253",9.1339080293003,9.37943330840145,8.98924476273683,9.14106382694883
"LOC107275254",4.33912538320827,4.23214197119851,4.59147750087608,4.80111611260887
"LOC107275256",9.59139146762264,9.58033068869977,9.17615852817062,9.50039301013103
"LOC107275257",0,0,0,0
"LOC107275258",4.27131158736342,4.38815588067201,4.32235029304841,3.73928322800261
"LOC107275259",8.61181755704769,8.52580354191946,8.53151316959056,8.605107777042
"LOC107275260",4.0633667033479,4.09262582873612,3.64868114106851,4.2925140460641
"LOC107275261",10.9312938524855,10.9582230292173,10.8378402390719,10.8154719810543
"LOC107275263",7.16545437850724,7.09681215913035,6.98439453922856,7.23869461983265
"LOC107275264",7.87073768701446,7.8028265642247,7.81046275822395,7.75045411216682
"LOC107275265",2.67942055440776,2.55710416520478,2.47058086925048,2.38192359843206
"LOC107275266",0,0,0,0
"LOC107275269",-0.101971805217273,-0.100031213466767,-0.123835433064255,-0.0851717666561556
"LOC107275271",0,0,0,0
"LOC107275272",0,0,0,0
"LOC107275275",0,0,0,0
"LOC107275276",3.29875266030956,3.36827940024933,4.14665259333529,3.71320794994291
"LOC107275277",7.29601177258773,7.45344428692701,7.2619490113377,7.312246095266
"LOC107275278",3.5206725471973,3.53185898822834,3.9637798484102,3.92787486384696
"LOC107275279",5.36415117576809,5.32828830243187,5.22825061276773,5.50666320130202
"LOC107275280",4.88331741941252,4.42531641889554,3.90608374647885,4.42560575390747
"LOC107275281",0,0,0,0
"LOC107275282",6.23197654654229,6.17512355262934,5.97700804370104,6.28916793989661
"LOC107275286",3.1986864935849,3.22444634371894,3.25023549087169,6.43039822659155
"LOC107275287",6.90250345170838,7.55927217332198,8.77344441383515,6.56091206420172
"LOC107275291",0.622280087804485,0.622676122863385,0.771196385001586,0.621734827847652
"LOC107275292",8.89177314819028,9.04412451635113,8.86176589695706,9.01310530034033
"LOC107275293",0,0,0,0
"LOC107275294",7.15058805904559,6.94528368964555,6.46742816294991,6.127306077963
"LOC107275295",5.51500029439778,5.48899061490599,5.73451536277231,6.04611894631864
"LOC107275296",0,0,0,0
"LOC107275297",0,0,0,0
"LOC107275300",3.38363993246305,3.63927198558538,3.74174318876435,3.58481334433944
"LOC107275302",1.29977354348407,1.2169039961807,1.21936002366853,1.25064883479664
"LOC107275304",0.802287031244313,0.802771890717475,0.803287161855168,0.976237566711419
"LOC107275306",3.45239411982613,3.61853790886734,3.08093029723955,3.14191833743993
"LOC107275307",0,0,0,0
"LOC107275308",0,0,0,0
"LOC107275309",5.2768722778886,5.30984304679939,5.31270582578985,5.22174843143273
"LOC107275311",0,0,0,0
"LOC107275312",9.15532914848326,9.35179812981012,8.84025961484934,8.4648999753295
"LOC107275315",0,0,0,0
"LOC107275316",9.73878692235143,9.67795952518903,10.058513673517,10.1744588296953
"LOC107275319",0,0,0,0
"LOC107275320",0,0,0,0
"LOC107275321",0,0,0,0
"LOC107275322",3.9704595680514,4.07425634498799,4.77542506069072,4.83055287097197
"LOC107275323",0,0,0,0
"LOC107275324",-1.72829673971194,-1.72784370398162,-1.7273911871809,-1.71839970963333
"LOC107275325",5.73096810547916,6.12895373060628,5.85533788660918,5.96540009165371
"LOC107275326",-0.910501714982966,-0.910356595217729,-0.857509408681162,-0.910701606932312
"LOC107275327",0,0,0,0
"LOC107275328",-0.946614879346716,-0.8985645879241,-0.945267741648646,-0.946791910124202
"LOC107275330",0,0,0,0
"LOC107275331",0,0,0,0
"LOC107275332",7.08555609895604,7.05968207793074,4.94487057415026,4.42302449456282
"LOC107275333",0,0,0,0
"LOC107275334",0,0,0,0
"LOC107275335",-0.67781189208182,-0.677663773360698,-0.677506028412237,-0.620333418010604
"LOC107275336",0,0,0,0
"LOC107275337",3.37402867096874,3.43886868600168,4.03593565887282,3.67406744458543
"LOC107275339",0,0,0,0
