"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3"
"LOC107275248",6.89482963888135,7.20564991642196,7.01484949985476,7.22813268197623
"LOC107275249",5.71057542478185,5.98925901546106,4.99763005665645,4.78694290263685
"LOC107275250",10.3727247581868,10.4039515893415,10.4890442092681,10.3980870450183
"LOC107275251",5.48366383289862,5.37709683090721,5.64480270907081,5.36749678537261
"LOC107275252",7.66276739187752,7.72319969044214,7.67930667428702,7.72587589262479
"LOC107275253",9.13449760270303,9.38095641932034,8.98929829838318,9.14041388815731
"LOC107275254",4.33049077894484,4.21820795249887,4.5939701928015,4.81111927245909
"LOC107275256",9.59228841419301,9.58146874131794,9.17618629437965,9.49984894410891
"LOC107275258",4.27122439193019,4.39304140766406,4.32430651065816,3.70876201850726
"LOC107275259",8.61270144092155,8.52647157278055,8.5318466110106,8.60474813399745
"LOC107275260",4.06218615600868,4.09283609358551,3.624816225489,4.30076924125214
"LOC107275261",10.9319284932531,10.9591013866814,10.8384408272465,10.814893178631
"LOC107275263",7.1667320135452,7.09722455849845,6.982720549597,7.24008094980142
"LOC107275264",7.87198354105869,7.8036247329911,7.81099979384572,7.74939076367784
"LOC107275265",2.68502371606936,2.55621105867326,2.46464105974078,2.3700574262177
"LOC107275276",3.26993050161257,3.34439034578895,4.16015216241839,3.70848148834487
"LOC107275277",7.29613868936022,7.45591020013123,7.26150319707049,7.31156505963249
"LOC107275278",3.50492932303711,3.51696407808245,3.97041619180809,3.93291756015664
"LOC107275279",5.36477998648826,5.32778767628727,5.22398788652043,5.51138467484211
"LOC107275280",4.89693599271181,4.42195244951677,3.87548897827273,4.42178471031558
"LOC107275282",6.23406230430957,6.17594641421128,5.972376589241,6.29184381669882
"LOC107275287",6.89729661210372,7.5608897587876,8.78437395195889,6.55072848647909
"LOC107275292",8.89221349155515,9.04536509135965,8.86197287199128,9.01273911000385
"LOC107275294",7.15905810967042,6.95057505943789,6.46353200549403,6.11499095853826
"LOC107275295",5.50922969518968,5.482507357816,5.73561355907923,6.05507407134817
"LOC107275300",3.37034845105604,3.64024390791541,3.74736060758111,3.58274022023394
"LOC107275306",3.45354653702286,3.62714357931328,3.06107765391341,3.12541544943152
"LOC107275309",5.27722668875788,5.31147431180974,5.31425012503145,5.21951787086717
"LOC107275312",9.15666523035222,9.35402543703011,8.84040459282795,8.46258513280035
"LOC107275316",9.73936438651032,9.67876733842028,10.0591381602257,10.1739699198725
"LOC107275322",3.94165177194225,4.05185966350024,4.78354084776658,4.84033705456235
"LOC107275325",5.72570210798766,6.13503828873239,5.85379322399367,5.96630813953509
"LOC107275332",7.10212046031756,7.07606302338867,4.92109588868262,4.38260375416629
"LOC107275337",3.35337025553368,3.42246764063152,4.04778428792635,3.67029880464002
"LOC107275341",7.79497120345453,7.8482431198716,7.01345354886524,6.82622575860586
"LOC107275342",5.58074842265203,5.5240106194526,4.18074008242691,4.27696856914047
"LOC107275357",8.77948239622029,8.50337610194221,7.1486709838609,7.70694501997347
"LOC107275368",7.31592660840223,7.3123417930934,6.45262520743682,6.53151539077259
"LOC107275376",7.93457407758118,7.92870795831669,7.344417096205,7.00718969897263
