"GeneID" "Symbol" "LocusTag" "Synonyms" "description" "type_of_gene" "Other_designations" "RAPdb_ID" "funrice" "logFC.fls2DEG_germfree" "logFC.fls2DEG_microbiota" "logFC.fls2DEG_x_microbiota" "logCPM" "F" "PValue" "FDR"
"LOC107275253" 107275253 "LOC107275253" "-" "-" "CCG-binding protein 1" "protein-coding" "CCG-binding protein 1|Os03g0765400" "-" "-" 0.454048344267166 -0.899105593097431 -1.3531539373646 4.4594697583993 7.96108878841889 0.00443549767393949 0.0241815125699462
"LOC107275265" 107275265 "LOC107275265" "OSNPB_070432333" "OJ1051_D12.1" "uncharacterized LOC107275265" "protein-coding" "uncharacterized protein LOC107275265|OSJNBa0067K15.35|Os07g0432333" "Os07g0432333" "-" 2.2443677962103 -0.586522045450397 -2.8308898416607 8.75854425471173 26.6420265644061 1.36857803032712e-05 0.000536257995614151
"LOC107275279" 107275279 "LOC107275279" "OSNPB_060534900" "-" "probable E3 ubiquitin-protein ligase ATL45" "protein-coding" "probable E3 ubiquitin-protein ligase ATL45|Os06g0534900" "Os06g0534900" "-" 1.50141071872051 -0.545930349334131 -2.04734106805465 0.167550535380372 6.84182388478964 0.00701658539468921 0.0330712411771124
"LOC107275287" 107275287 "LOC107275287" "OSNPB_010537250" "P0014E04.6" "angiomotin" "protein-coding" "angiomotin|translation initiation factor IF-2" "Os01g0537250" "-" 3.49668853925383 0.0403419035252949 -3.45634663572854 4.33430019498624 16.1916236766467 0.00027043221238393 0.0036717799725099
"LOC107275293" 107275293 "LOC107275293" "OSNPB_060271400" "-" "uncharacterized LOC107275293" "protein-coding" "uncharacterized protein LOC107275293|Os06g0271400|P0662B01.10" "Os06g0271400" "-" 5.09857193758294 4.01620376886384 -1.0823681687191 -0.703402029241409 20.2305200272133 4.7705919138298e-05 0.00117545626013203
"LOC107275300" 107275300 "LOC107275300" "OSNPB_110160000" "-" "uncharacterized LOC107275300" "protein-coding" "uncharacterized protein LOC107275300|Os11g0160000" "Os11g0160000" "-" 0.418899855326021 -1.16171139324872 -1.58061124857474 -0.09333277673164 9.38182820757514 0.00194180317940084 0.01369352840889
"LOC107275315" 107275315 "LOC107275315" "OSNPB_100429500" "-" "uncharacterized LOC107275315" "protein-coding" "uncharacterized protein LOC107275315|Os10g0429500" "Os10g0429500" "-" 4.48715624130862 7.08138719383976 2.59423095253114 -1.59272990583842 47.7060279846764 1.53045346496967e-07 3.09963204034085e-05
"LOC107275378" 107275378 "LOC107275378" "OSNPB_110275600" "-" "uncharacterized LOC107275378" "protein-coding" "uncharacterized protein LOC107275378|Os11g0275600" "Os11g0275600" "-" -1.35046155616744 -0.475071706726786 0.875389849440651 -1.22769975595547 5.33979090597128 0.0164490321644152 0.0587663271259491
"LOC107275415" 107275415 "LOC107275415" "OSNPB_110572000" "-" "uncharacterized LOC107275415" "protein-coding" "uncharacterized protein LOC107275415|Os11g0572000" "Os11g0572000" "-" -1.02723326505061 -1.81214265901329 -0.784909393962681 -2.55969787732789 9.62826997077085 0.00173292609052365 0.0127373574989706
"LOC107275428" 107275428 "LOC107275428" "OSNPB_110253100" "-" "ankyrin repeat-containing protein NPR4" "protein-coding" "ankyrin repeat-containing protein NPR4|Os11g0253100" "Os11g0253100" "-" -1.11521443351931 -1.95886719214956 -0.843652758630247 -1.52726256809945 12.7460055546535 0.000464137593630202 0.00523853172592169
"LOC107275452" 107275452 "LOC107275452" "OSNPB_110617700" "-" "uncharacterized LOC107275452" "protein-coding" "uncharacterized protein LOC107275452|Os11g0617700" "Os11g0617700" "-" -1.80217339672784 0.0039603805861792 1.80613377731402 0.213349826917236 7.28570021469654 0.0054834870680834 0.0278486974312579
"LOC107275549" 107275549 "LOC107275549" "OSNPB_040367600" "-" "wall-associated receptor kinase-like 2" "protein-coding" "wall-associated receptor kinase-like 2|Os04g0367600" "Os04g0367600" "-" 0.565189110453494 -4.1345635257783 -4.6997526362318 -3.05711686028862 6.38842195346832 0.0089349943956552 0.0390371204728626
"LOC107275591" 107275591 "LOC107275591" "OSNPB_080552100" "-" "uncharacterized LOC107275591" "protein-coding" "uncharacterized protein LOC107275591|OSJNBb0011H15.18|Os08g0552100" "Os08g0552100" "-" 1.0479515269873 0.945945039889233 -0.10200648709807 1.04284556052318 17.0788520226916 9.98654044347801e-05 0.00190564005864341
"LOC107275596" 107275596 "LOC107275596" "OSNPB_110643400" "-" "serine carboxypeptidase-like 2" "protein-coding" "serine carboxypeptidase-like 2|Os11g0643400" "Os11g0643400" "-" 1.03774194306638 -0.212438584024983 -1.25018052709137 -0.913306169678662 4.77348480243528 0.0233333479200479 0.0745184235210323
"LOC107275625" 107275625 "LOC107275625" "OSNPB_020728001" "-" "basic leucine zipper 43" "protein-coding" "basic leucine zipper 43|Os02g0728001" "Os02g0728001" "-" 0.60697658191664 1.06467149090216 0.457694908985519 1.08942796233326 10.0502826477761 0.00143124103836358 0.0112306421836254
"LOC107275628" 107275628 "LOC107275628" "OSNPB_060692500" "-" "tyrosine-sulfated glycopeptide receptor 1" "protein-coding" "tyrosine-sulfated glycopeptide receptor 1|Os06g0692500|P0532H03.30|putative phytosulfokine receptor" "Os06g0692500" "-" 1.3055420496236 0.368550125250383 -0.936991924373216 0.839247526510043 7.97578818794073 0.00386424591786133 0.0218407506063647
"LOC107275647" 107275647 "LOC107275647" "OSNPB_100169900" "-" "uncharacterized LOC107275647" "protein-coding" "uncharacterized protein LOC107275647|Os10g0169900" "Os10g0169900" "-" 1.70052457673954 -0.3466110646313 -2.04713564137084 -0.779042365161167 10.8002184654206 0.0010297715665313 0.0090143788669443
"LOC107275650" 107275650 "LOC107275650" "OSNPB_020628000" "LOGL2|OsJ_07599" "probable cytokinin riboside 5'-monophosphate phosphoribohydrolase LOGL2" "protein-coding" "probable cytokinin riboside 5'-monophosphate phosphoribohydrolase LOGL2|LOC_Os02g41770|Protein LONELY GUY-like 2" "Os02g0628000" "-" -1.38160298908681 -0.136462277394149 1.24514071169266 2.44984372100417 34.2274320363334 1.45488570674486e-06 0.000130985548813243
"LOC107275689" 107275689 "LOC107275689" "OSNPB_050536250" "AP2D4" "AP2-like ethylene-responsive transcription factor PLT1" "protein-coding" "AP2-like ethylene-responsive transcription factor PLT1|Os05g0536250|transcription factor AP2D4" "Os05g0536250" "-" 0.148354423589732 1.91135298621142 1.76299856262169 -1.24359809217314 11.3509567089568 0.000815272202427424 0.00762346521850113
"LOC107275691" 107275691 "LOC107275691" "OSNPB_100163370" "-" "lecithin-cholesterol acyltransferase-like 1" "protein-coding" "lecithin-cholesterol acyltransferase-like 1|Os10g0163370" "Os10g0163370" "-" 0.501423919939677 -1.4683238717585 -1.96974779169818 -1.07779382102413 6.25012110594355 0.00965907797578076 0.0412172052042335
"LOC107275694" 107275694 "LOC107275694" "OSNPB_030659550" "-" "acyl transferase 1-like" "protein-coding" "acyl transferase 1-like|Os03g0659550" "Os03g0659550" "-" 2.12714874810959 1.98677557866352 -0.140373169446073 1.22421041794893 38.7299928400811 6.98186183582871e-07 8.25898647429401e-05
"LOC107275700" 107275700 "LOC107275700" "OSNPB_050456925" "-" "ultraviolet-B receptor UVR8" "protein-coding" "ultraviolet-B receptor UVR8|Os05g0456925" "Os05g0456925" "-" -2.79651067517587 0.813491672026295 3.61000234720216 5.33742723221125 73.8594701151825 1.79998255155814e-08 6.48192566016643e-06
"LOC107275719" 107275719 "LOC107275719" "OSNPB_110640500" "-" "uncharacterized LOC107275719" "protein-coding" "uncharacterized protein LOC107275719|Os11g0640500" "Os11g0640500" "-" 0.428541356840386 -0.753422923731114 -1.1819642805715 1.64726257180429 10.1374500630106 0.00137656019140244 0.0109234075859166
"LOC107275738" 107275738 "LOC107275738" "OSNPB_040443900" "-" "chaperonin 60 subunit beta 4, chloroplastic" "protein-coding" "chaperonin 60 subunit beta 4, chloroplastic|Os04g0443900" "Os04g0443900" "-" 2.0601390747667 -0.839569868760826 -2.89970894352753 2.3018332815022 9.80085220411399 0.00206960743094216 0.0143264849971019
"LOC107275740" 107275740 "LOC107275740" "OSNPB_070495150" "OJ1058_B11.122|OJ1457_D07.101" "probable serine/threonine-protein kinase PBL19" "protein-coding" "probable serine/threonine-protein kinase PBL19|Os07g0495150|phytosulfokine receptor precursor -like protein|probable receptor-like protein kinase At5g47070" "Os07g0495150" "-" -2.10786016705093 -0.421173639153343 1.68668652789758 0.813858713126239 28.1215144321363 5.17371809453744e-06 0.000286364760951064
"LOC107275769" 107275769 "LOC107275769" "OSNPB_040430900" "-" "putative magnesium transporter MRS2-D" "protein-coding" "putative magnesium transporter MRS2-D|Os04g0430900" "Os04g0430900" "-" -0.691977921318213 0.580140477873666 1.27211839919188 2.30904311103642 17.8774784422256 7.74566181311793e-05 0.00163306406081936
