UniqueCount	AmbigCount
76	2364
318	14
1201	2
13	1298
199	382
662	3
787	3
45	701
2	701
397	5
3	8
0	8
3	397
640	1213
159	1213
470	461
80	747
3	747
632	0
296	0
402	1
308	0
4896	7
629	0
1668	2
377	687
45	686
1079	4
29	349
18	344
52	322
10	328
69	81
673	2
1702	1
1603	12
2037	7
424	1
75	561
72	3
98	0
3165	26
33	6838
318	139
329	1
1715	6
567	2
647	2
16	168
21	150
0	140
0	104
13	328
24	328
0	0
1761	9
127	832
6	832
511	6
813	1
6	6680
4074	11
6740	18
20	0
276	86
26	6634
3	241
88	0
974	6
242	2
50	318
0	942
903	4
1088	3
376	2
3	46
545	0
1869	3
1183	7
718	2
454	1
11630	61
1375	1
9	138
901	3
531	3
1595	4
72	0
16	140
1544	12
1060	1
5994	19
0	5
323	881
22	1000
488	3
910	4
0	0
0	0
0	0
0	0
52	1
2	1362
448	0
94	613
6	613
718	2
116	0
412	1
4	1120
9	1067
125	1345
8	1093
2	1065
8	591
324	1176
5	244
13	244
1670	2
4474	12
12	1149
2240	6
2	3
0	3
0	3
573	0
2592	11
2	5
0	5
66	518
0	228
0	264
0	0
1668	6
4	169
2	169
1	518
1	158
373	2
528	4
230	0
356	4
213	0
0	59
0	42
3	56
48	683
186	1
222	1
68	386
36	0
741	1
276	0
4	683
56	0
19	0
6	151
0	151
0	137
7	355
29	355
6	217
0	214
0	216
169	834
394	3
74	553
9	553
1	0
61	0
15	0
6	833
523	225
12	223
108	14
519	11
575	0
218	0
550	1
26	1
1194	4
2560	11
1461	6
770	4
139	0
2258	30
864	2
1802	0
229	4
1974	4
762	3
7	407
71	407
1	0
84	0
5548	19
0	0
0	0
0	0
13982	37
99	0
0	25
1	25
1	1129
0	0
0	0
0	0
0	0
1554	20
281	2
685	1083
389	1
97	0
8	228
159	0
32	0
9	0
145	0
14	328
0	14993
0	328
708	2
1343	5
28	0
113	0
81	13064
416	4
353	3
4	14
8	23150
0	14
0	14
247	4
89	854
9	854
48	270
15	267
125	18777
347	3
152	1
166	18790
0	150
8	137
6402	24
283	0
18	0
1	179
0	179
330	0
0	0
0	0
2057	8
0	0
0	0
0	0
98	1709
91	1
5	196
1	196
33	0
1	31
0	0
0	0
1	0
7	13
275	0
823	6
93	0
1278	273
29	461
2	461
13314	39
111	0
46	0
7	204
384	0
21	0
3	0
170	1
0	268
654	1
808	1528
1217	7
114	0
74	0
195	0
0	1
0	1
240	1
6	47
2	47
29	91
17	0
0	6
0	6
0	6
68	0
0	120
0	103
1	106
2	91
5	105
0	0
249	1
167	0
121	0
5	168
35	168
123	0
63	0
271	167
6	0
300	0
302	3
82	0
0	458
4	339
0	455
653	3
0	14
40	0
347	0
174	3
54	1
5	58
0	58
91	0
59	184
37	1
81	1263
4	1263
3	1011
559	2
0	0
920	2
31	0
11	0
43	0
133	0
6	8
561	5
30	0
5	0
0	0
0	43
77	1
154	1
0	0
0	0
37	1
23	1
501	2
0	0
0	0
0	3
0	3
0	3
377	0
48	0
310	1
49	0
190	1
0	0
0	0
111	2
214	5
127	0
393	3
9923	38
251	1
0	3
50	0
6	46
7	46
4	0
295	2499
0	5
0	5
24	0
2257	4
4	0
314	8
6	0
0	164
6	136
2211	5
200	0
26	0
0	0
0	0
4	0
153	0
138	0
184	0
1155	3
3	6
288	12206
9	0
34	0
231	2
2	0
20	12189
0	29
0	29
0	5
0	5
1474	4
56	12193
129	0
1	0
25	12
9	12189
1	0
0	0
20	12204
5	0
0	0
304	3160
0	0
29	3158
0	0
0	0
176	0
487	28
3	0
0	0
8	0
922	2790
0	0
0	0
0	0
0	0
3	269
0	0
2	0
0	0
63	980
5	0
8	156
32	156
79	1
27343	24053
0	39657
2106	38685
0	727
0	727
60	0
0	100
0	100
192	1
0	7476
0	0
0	0
3	0
0	0
5	7260
7	0
35	0
0	0
1	0
2	0
0	0
1	0
69	0
0	0
0	0
5	0
0	0
5	0
0	0
0	0
1	46
17	0
7	0
18	0
0	0
1	0
0	0
19	0
20	978
1053	6
5	0
3	0
1	0
0	0
11467	38
0	0
0	0
0	0
2	0
0	0
1357	11
0	0
0	0
92	269
0	218
0	0
16	0
0	0
16	0
0	0
0	0
7	5
2	0
14	0
0	0
0	0
449	2
39	484
0	0
8	0
0	0
140	0
0	5
406	573
19	1
120	0
0	0
1	0
30	9
0	0
160	2
0	0
0	0
0	4
0	0
5171	12
158	0
52	0
0	77
0	0
1716	5
92	1
0	0
75	10
38	17
37	2364
30	332
0	0
31	2
0	0
2	0
0	0
27	0
