UniqueCount	AmbigCount
88	1709
191	9
787	1
7	834
157	378
250	2
532	0
21	536
2	535
233	2
0	2
0	2
2	365
555	1046
172	1046
378	478
91	665
2	665
421	0
259	1
191	1
1912	5
3412	7
340	2
969	2
343	529
24	529
724	2
41	377
9	373
30	352
4	355
73	103
418	4
972	1
324	1
937	2
191	1
60	482
54	0
49	0
2144	8
36	6393
189	86
137	0
1225	4
777	3
416	0
19	161
18	137
1	127
0	92
9	265
7	265
0	0
1360	4
22	107
1	107
182	0
623	0
1	6236
3455	11
4373	6
16	1
285	109
11	6206
14	207
287	0
819	6
151	1
44	247
0	687
570	2
52	0
177	0
4	11
176	0
1990	5
1053	3
692	2
485	2
7997	33
67	0
13	127
762	1
404	0
792	4
6	0
13	128
1138	4
159	2
3563	5
0	17
304	653
6	728
341	1
627	1
0	0
0	0
0	0
0	0
50	0
1	1059
685	0
66	324
1	324
403	0
74	0
143	0
1	259
3	244
86	1043
1	257
2	244
1	168
172	608
5	104
10	104
713	1
3081	7
16	875
1466	1
4	0
0	0
0	0
340	0
1264	1
5	12
0	12
69	448
0	106
0	134
0	0
80	0
7	122
0	122
4	448
0	113
235	0
482	0
276	0
206	1
230	1
0	53
0	37
1	53
25	448
212	0
208	0
1	49
15	0
566	0
445	0
2	448
11	0
22	0
2	164
0	164
1	144
2	181
25	181
1	117
0	113
0	116
100	634
125	0
56	391
5	391
0	0
40	0
1	0
4	634
270	132
11	130
80	9
351	6
336	1
146	1
393	1
12	0
1068	2
1638	9
562	4
577	1
45	0
258	3
663	1
2157	8
25	5
1320	1
585	0
13	350
74	350
1	0
31	0
1740	9
0	4
0	0
0	0
6519	15
91	0
0	54
4	54
0	660
0	0
0	0
4	0
0	0
1185	10
323	4
266	370
304	0
71	0
0	151
19	0
23	0
13	0
111	0
10	267
0	13626
5	267
562	5
1689	7
0	0
33	1
36	12253
96	1
221	0
0	12
11	20537
0	12
0	5
517	1
26	329
6	329
29	197
14	193
51	17058
404	0
134	1
48	17074
0	73
1	69
1621	8
232	1
12	0
10	141
0	141
260	2
0	0
0	0
1402	0
0	0
0	0
0	0
91	1430
75	0
0	56
0	56
33	0
3	25
1	0
0	0
1	0
7	4
118	0
56	0
62	1
48	11
30	346
1	346
10223	23
84	0
79	0
1	109
281	1
35	0
1	0
74	0
1	178
352	0
579	1075
757	4
84	0
16	0
139	1
0	1
0	1
51	0
1	12
2	12
25	107
39	0
0	2
0	2
0	2
28	0
1	100
1	86
0	83
0	107
2	88
0	0
195	0
87	2
42	0
4	88
20	88
54	0
20	0
90	114
0	0
140	0
292	1
91	0
0	120
0	85
0	119
1048	2
1	28
49	0
207	0
142	0
74	0
9	59
2	59
63	0
9	58
27	1
30	359
3	360
3	306
647	1
0	0
700	0
34	0
15	0
40	0
98	1
2	9
515	3
22	0
6	0
0	0
0	8
38	0
117	0
0	0
0	0
6	0
2	0
208	0
0	0
0	0
0	1
0	1
0	1
195	0
12	0
79	0
0	0
144	0
0	0
0	0
44	0
210	2
299	1
85	0
5159	5
147	0
3	5
60	0
3	40
8	40
0	0
199	1809
0	1
0	1
22	0
1196	4
0	0
244	10
3	0
0	96
2	87
933	0
47	0
26	1
0	0
0	0
5	0
83	0
90	0
146	0
1258	4
1	1
191	9215
11	0
13	0
392	1
1	0
4	9210
0	11
0	11
0	20
2	20
599	1
12	9214
75	0
1	0
34	30
1	9211
0	0
0	0
24	9215
4	0
0	0
182	2597
67	0
21	2595
0	0
444	0
4	0
619	15
1	0
0	0
3	0
396	3758
0	0
0	0
0	0
0	0
5	232
0	0
4	0
0	0
12	271
0	0
0	11
1	11
37	0
22610	20210
0	31171
1553	30271
0	595
0	595
41	0
0	11
0	11
124	0
0	3369
414	4
2	0
335	4
0	0
0	3264
7	0
3	0
0	0
0	0
1	0
0	0
0	0
42	0
3	0
0	0
3	0
0	0
1	0
1	0
2	0
1	31
20	0
3	0
3	0
0	0
1	0
12	0
10	0
2	271
872	2
0	0
2	0
0	0
0	0
7564	17
0	0
0	0
0	0
1	0
1	1
1291	3
0	0
0	0
91	232
1	76
0	0
3	0
0	0
1	0
1	0
0	0
5	7
1	0
65	0
0	0
3	0
269	0
13	359
0	0
2	0
0	0
0	0
0	0
407	655
9	0
1	0
0	0
3	0
14	5
0	0
66	1
0	0
1	0
0	1
0	0
4648	11
120	1
13	0
1	79
0	0
1402	0
101	0
0	0
72	2
9	2
25	1709
15	232
0	0
19	2
7	0
1	0
0	0
393	0
1805	2
20	0
281	0
0	7
2	0
3444	5
0	0
0	0
0	0
71	0
255	0
315	1294
0	1282
1	922
3	0
20	955
2663	5
1	955
2790	3
362	0
0	0
0	437
5	430
99	431
0	0
344	0
0	0
66	1
58	0
7	0
123	2
0	0
0	3
0	3
139	544
11	253
13	0
14538	21
6	0
261	1
57	0
69	543
5	0
44	0
0	22
52	0
2	0
101	0
7	3452
111	0
46	0
61	0
244	1
158	2
16	3069
52	0
73	0
25	0
3	40
148	0
0	926
4	0
0	0
112	0
55	0
282	1
34	0
0	0
120	0
6	0
0	0
0	0
0	0
0	19
84	0
22	2
3210	13
5	0
0	0
0	0
40	0
200077	435
579	3
0	0
0	0
9	14
0	0
0	0
30	0
18	0
1	0
4	0
1	0
0	0
0	0
0	1
0	1
4	0
3	14
0	14
30	0
32	0
9	0
0	0
31	0
0	0
6	0
47	1
350	1
0	0
0	61
60	0
503	1
21	0
42	0
14	1
1	0
52	0
10	0
0	0
101	0
3	0
22	0
218	0
12	0
186	0
25	1
61	0
0	0
36	0
0	281
4204	4
3	0
154	0
3	0
0	0
166	1326
25	0
73	0
6	2
9	0
0	40
129	1
0	1
0	0
0	0
31	0
0	0
4	5
264	1
6	2
0	0
0	0
3	0
12	0
0	0
0	0
0	0
4	340
8	0
3	0
1	0
0	0
83	0
28	0
8	0
0	0
1	0
0	0
0	0
19	0
13	56
15	0
7	219
0	0
1	0
143	0
7	2
0	0
0	0
0	0
3	0
9	0
2	0
0	0
52	0
0	3
0	0
41	0
0	0
0	0
0	0
2	0
0	0
8	0
5	0
0	0
14	0
0	0
2	0
0	11954
3	11881
10	11675
2010	0
0	0
11	0
0	0
0	0
0	0
2356	5033
10	1191
57	935
11	0
0	0
1	0
121	1191
1	0
0	0
9	44
0	44
5774	18
2984	3
125	1
650	1
20	268
3308	2876
33	167
2	167
7	0
0	0
0	12673
49	12614
30	12534
3	12498
6	12490
2327	2873
0	12601
7	12518
6	12501
5	12369
3	12418
2	12343
1	12404
5	12421
0	12468
0	12297
27	10882
43	9655
10	12264
22	12244
0	3548
13	12501
0	12146
77	12378
155	9743
6	10481
5	9885
99	3108
0	11692
0	10736
0	11373
0	10733
0	10597
5	11223
0	3417
6	11690
1	11221
0	11079
3	12741
1121	60
36	6
0	8293
166	8293
195	1
6	805
778	1347
51	1344
2824	3
1607	5
1050	22
119	93
11	4337
203	4337
3	0
2220	7
36	0
273	0
35	2369
3234	3256
7826	12
352	25
2174	5
1	150
1	150
4714	9
53	1254
0	293
1	238
17	201
0	103
0	266
1	270
1041	8
910	6
1	0
2496	8
18	103
1	72
11	63
0	72
15	0
11183	24
52	223
3032	9
2068	5
4	223
1	62
1760	5
114	0
16	1963
194	1964
5301	9
2574	3
120	522
3	522
1343	4
1783	3
755	1
643	0
49	119
3	119
3722	9
1763	36
49	35
25	1048
177	4
18	4591
133	4591
293	0
0	0
2122	3
14	640
5	660
35	660
10	350
0	350
2267	775
5	113
5	563
0	551
0	548
0	536
40	485
2	485
0	76
8	590
0	72
1	71
0	173
101	0
15	590
847	0
1787	6
16	378
805	380
1250	1
577	26
30	16
3	557
24	662
51	631
386	4
0	404
0	396
1	393
0	392
0	376
1	378
0	375
0	382
0	366
1	365
1465	0
157	1
0	2402
19	2118
2	2003
18	2107
848	1584
2	1580
427	1809
4	1809
0	142
23	148
0	1025
158	1
1	624
13	636
44	636
14	879
52	1933
10	1933
21	0
887	4
410	0
363	0
4747	13
70	818
92	1870
8	1870
7589	376
72	354
1251	1
100	2795
22	2795
40	2776
8	874
813	2
0	783
35	1317
1	1255
1	960
0	897
65	910
6	864
16542	58
4578	12
1431	2102
3	2099
0	57
2	57
1	848
11	2798
230	2798
206	264
101	264
10	265
5534	14
64	1
12	45
7	45
248	0
50	3475
6052	12
1228	4
30	47
54	298
7098	19
37	879
0	846
99	3475
53	700
192	0
390	1
50	1032
8	1032
2801	7
37	364
0	1835
2978	4
255	0
858	0
451	4
1480	5
19	1302
14	1302
1689	6
134	1
2029	3914
7046	6
242	3913
570	1
265	1
4785	5
122	23
66	41
1381	3
8219	14
108	3719
40	3700
949	2
1686	4
38	694
40	694
4	13
0	12
491	1
3	0
47	0
1227	6
3323	3
7630	26
1763	3
731	1
133	808
302	2
60	0
1439	3
100	828
53	596
11135	33
686	0
9404	19
349	997
4	596
521	0
1797	6
111	1
3537	12
40708	73
98	583
0	583
732	1
165	1067
48	1066
2828	8
3	0
588	1
0	93
0	93
0	89
2	89
5	0
56	4478
164	4478
5	0
7	4999
107	0
15261	29
17336	42
694	2
9	0
2042	2
24	1314
106	1314
0	9
2507	8342
6279	6
30153	44
1154	3
2562	29
8825	72
2847	8
6905	8350
39	0
5667	9
194	0
162	4
25	5
40	0
171	1
148	0
243	1
4	0
267	1
963	20
691	2
3789	2
2127	5
66	2440
2	2440
0	0
1260	3
24	3203
14	3212
3	3174
982	6019
14	3726
2087	4
0	6098
1658	8
2	0
2246	107
2810	4
259	155
16	360
38	347
3	364
3	344
141	294
41	231
0	162
1114	2
6053	7
11	1292
79	1292
140	590
0	374
0	379
843	2
153	2
86	0
16508	26
196	471
223	0
1487	1
3879	5
0	1138
561	2663
50	2661
187	1863
9	1862
1755	2
2772	7
322	2
57	2201
5	2201
2	1677
0	1150
399	0
1182	1
4158	8
2662	5
0	0
0	0
0	335
2221	3
1510	4
14	0
34	0
0	335
2886	19
0	2176
46	1679
24	1891
4	3509
12	2227
10	2201
391	2
303	452
76	452
7003	11
0	521
6686	14
676	2
2	3704
300	0
16	561
7	561
654	28
2	56
11	31
4645	9
9	521
42	420
30	6292
7	6292
1	2955
37	2955
519	1
2466	7
1246	0
3	493
343	3145
47	3144
352	0
5	514
39	514
30	0
675	2
97	13164
547	102
27	650
1547	6
26	13196
1239	7
0	3563
222	3537
1343	13201
433	3265
26	3121
112	1986
50	1986
336	1062
9	1062
0	458
0	480
291	3
2749	2
0	6482
232	0
203	6206
92	6166
53	6161
193	5168
0	1514
244	1451
0	104
740	0
4	1014
8147	56
34	0
17	0
175	2022
27	2022
2647	8
27	608
8	611
1794	4
2095	10965
564	10964
736	0
554	2
505	0
2150	4
2517	2
0	0
0	0
0	0
262	6503
13	6522
135	6417
3310	5
0	2809
6	3149
0	2672
0	3012
2880	4
4	427
48	0
1167	0
2	2082
8	2140
283	1
651	3125
84	3126
14	427
3172	8
11	1281
12	1281
0	1281
9451	22
26	742
20	742
207	7333
95	7340
25	7335
699	2812
5678	12
75	0
508	0
71	20
11412	25
4	59
19	2812
0	60
0	60
1	490
3	476
9	451
7	452
73	0
197	1482
32	1482
11	1481
1	1483
318	0
2293	2
3232	5
3123	6
5548	6
0	1103
19	907
2	401
0	128
2	0
0	55
53	1
7	52
3	54
5	52
0	54
0	32
220	0
173	9702
8	188
5	187
1	190
25	87
1	0
80	1
947	3
0	0
39	0
120	2
111	0
21	956
62	0
0	969
11	884
1	958
2	953
0	944
2	964
0	882
0	382
5	363
12	1297
21	1212
3888	26
