UniqueCount	AmbigCount
99	1825
365	21
1170	1
20	1268
125	425
425	1
808	0
57	888
1	888
327	3
0	14
0	14
3	435
1072	1948
272	1946
501	600
87	910
7	910
597	1
357	2
299	0
2391	19
4587	10
418	0
1335	10
364	696
33	696
1240	4
29	444
16	443
43	419
7	419
58	84
577	1
1517	5
1767	8
1637	4
394	3
62	581
55	1
102	0
2398	13
40	6619
322	153
396	1
1549	5
674	4
422	1
18	160
37	145
0	132
0	95
13	340
20	340
0	0
1083	2
173	1141
16	1141
521	4
894	0
5	6441
3276	11
4842	13
29	0
275	105
10	6390
13	247
203	4
952	7
379	1
43	356
0	930
746	1
1701	9
278	1
1	13
449	3
2058	3
1196	5
787	5
434	1
9581	53
1425	3
5	153
764	4
558	3
1429	6
56	0
9	154
1438	14
595	1
4624	16
0	20
272	747
23	850
453	1
872	6
0	0
0	0
0	0
0	0
68	0
2	1506
565	1
107	503
2	503
626	0
73	1
457	5
2	764
6	731
134	1487
6	761
2	730
1	435
293	1101
7	190
8	190
1619	6
3117	16
18	1251
2029	11
30	30
0	30
2	26
433	2
1872	2
2	12
0	12
95	590
0	73
0	84
2	0
2114	2
4	177
0	177
1	590
0	165
416	1
829	2
284	1
343	1
182	2
1	68
1	46
0	68
37	491
166	0
263	2
27	158
54	0
681	2
2018	4
2	491
62	0
45	0
13	241
0	241
0	220
2	281
45	282
0	151
0	148
0	148
100	805
527	1
50	464
11	464
0	0
85	1
30	0
2	803
455	197
6	197
160	14
521	8
683	2
247	0
336	1
20	0
1024	3
2343	9
1088	5
723	5
76	0
7060	91
925	2
1422	8
169	2
2092	4
888	1
9	453
94	453
1	0
102	2
8749	33
0	0
0	2
0	2
12011	42
134	0
0	25
5	25
1	766
0	3
0	3
3	1
0	1
1607	24
303	3
1121	1891
433	0
110	1
5	187
111	0
24	1
7	0
194	0
6	321
0	17203
2	321
646	4
1458	11
32	0
88	0
65	15389
280	0
206	2
0	18
15	25705
0	18
0	18
253	0
63	800
6	800
48	224
21	223
96	21415
164	2
152	0
82	21427
0	116
2	107
876	4
309	2
36	0
7	200
0	200
290	2
0	0
0	0
1649	8
0	0
0	0
0	0
65	1675
105	3
6	80
0	80
24	0
10	21
0	0
0	0
4	0
4	17
243	2
318	0
93	1
1074	188
19	366
3	366
12029	43
79	1
122	0
18	267
488	4
22	0
0	0
318	0
1	290
543	2
757	1048
1240	7
118	2
78	0
135	0
0	0
0	0
83	0
1	29
2	29
46	172
50	0
0	1
0	1
0	1
76	0
0	147
0	130
0	132
1	172
6	137
1	0
203	1
141	2
194	0
5	144
25	144
130	0
69	1
181	153
3	0
215	0
164	0
88	0
0	585
6	477
0	575
706	0
2	18
68	1
319	1
171	0
57	0
7	55
4	55
104	1
51	188
69	2
57	803
0	803
2	668
507	2
2	0
856	4
21	0
19	1
39	1
105	0
14	4
686	4
24	0
6	0
0	0
0	58
62	2
143	0
0	0
0	0
39	0
9	0
549	0
0	0
0	0
0	3
0	3
0	3
373	2
56	0
244	3
5	0
139	0
0	0
0	0
139	0
264	0
115	1
261	3
7439	24
310	1
3	6
56	0
10	48
6	48
10	0
249	2412
0	1
0	1
31	0
1904	5
3	0
303	13
7	0
0	128
2	116
1860	3
128	0
22	0
0	0
0	0
6	0
237	2
96	1
230	3
795	3
0	6
253	9698
18	0
19	0
182	0
7	0
6	9689
0	32
0	32
0	15
0	15
1072	2
20	9691
55	0
1	0
15	8
1	9691
3	0
0	0
15	9697
2	0
0	0
217	2958
0	0
25	2958
0	0
4	0
86	1
590	21
3	0
0	0
4	0
440	2924
0	0
0	0
0	0
0	0
8	292
0	0
0	0
0	0
16	360
12	0
2	97
18	97
66	2
27777	23702
0	36077
1999	35025
0	782
0	782
68	0
0	79
0	79
150	0
0	8066
0	0
0	0
2	0
0	0
3	7799
12	0
39	1
0	0
0	0
1	0
0	0
1	0
18	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	35
25	0
13	0
16	0
0	0
0	0
0	0
9	0
10	360
1005	4
1	0
13	0
0	0
0	0
9341	31
0	0
0	0
1	0
2	0
1	0
1334	9
0	0
1	0
98	292
1	150
0	0
23	2
0	0
10	0
0	0
0	0
13	3
5	0
6	0
0	0
0	0
397	2
58	697
0	0
7	0
0	0
82	0
0	2
416	752
22	0
120	1
0	0
4	0
37	3
1	0
170	0
0	0
1	0
0	4
0	0
5615	20
98	0
25	0
0	74
0	0
1678	2
119	1
0	0
75	5
17	12
22	1825
50	441
0	0
38	0
0	0
0	0
0	0
1	0
2443	3
0	0
0	0
1	4
8	0
4646	24
157	0
0	0
0	0
88	0
513	1
572	2344
0	2317
11	1600
34	0
23	1142
3385	11
0	1142
3331	21
516	2
2	0
0	600
3	594
150	591
0	0
818	7
0	0
