UniqueCount	AmbigCount
138	2336
403	7
894	6
29	1619
206	634
476	3
1065	7
30	775
2	775
494	2
1	7
0	7
3	633
539	1101
172	1100
407	576
130	783
10	783
533	1
359	2
354	1
2763	11
4532	27
556	2
1516	4
487	945
42	945
1145	11
52	482
16	477
47	458
4	462
179	301
750	8
1197	5
437	1
1410	12
463	0
82	555
62	0
40	0
3431	26
39	6984
224	143
238	2
1248	6
1080	5
649	5
13	186
22	161
1	153
0	114
12	405
20	405
0	0
2372	21
28	257
3	256
307	1
688	2
1	6828
7454	52
10085	39
56	2
581	285
19	6809
9	326
462	4
849	3
239	1
41	444
0	907
855	4
75	0
325	1
1	27
285	0
3953	16
1999	9
873	5
620	2
14084	101
174	0
3	133
955	8
610	2
1023	6
28	0
8	133
1597	16
280	4
5976	22
0	49
305	1181
19	1266
805	7
838	3
0	0
0	0
0	0
0	0
82	0
0	1487
539	2
99	633
5	633
731	4
122	2
376	3
3	306
8	292
142	1443
0	304
0	290
0	211
284	956
3	113
3	113
1019	5
4662	19
16	1295
2767	11
4	2
0	2
0	2
829	0
2269	9
0	18
0	18
107	777
0	83
0	96
0	0
268	0
5	187
0	187
0	777
0	174
314	0
873	4
355	3
335	1
461	6
0	107
0	83
1	107
65	880
230	2
204	0
10	77
31	0
729	7
596	3
3	880
26	0
51	0
10	214
0	214
0	192
10	331
42	333
7	131
3	128
0	131
310	1145
232	1
42	502
9	502
0	0
121	0
15	0
10	1137
522	237
7	232
94	16
939	19
552	2
345	2
248	1
40	0
1426	6
2377	21
1414	12
556	3
110	1
293	10
1124	6
3157	10
43	3
1899	8
1000	9
21	503
91	503
4	0
80	0
2058	7
1	2
0	2
0	2
9923	32
153	0
0	20
2	20
0	1243
0	0
0	0
1	2
0	2
1362	15
458	6
272	535
412	2
115	1
4	148
26	0
11	3
1	0
295	1
10	324
0	15557
2	324
1060	8
1560	12
0	0
125	0
30	13545
200	1
252	2
0	7
8	22367
0	7
0	7
2070	24
33	416
6	416
28	228
6	227
56	18998
228	4
171	3
56	19005
0	174
3	159
1747	11
470	3
49	0
5	142
0	142
473	3
0	0
0	0
1860	10
0	0
0	0
0	0
94	1769
131	0
2	27
0	27
68	0
7	43
0	0
0	0
1	0
10	10
98	0
129	1
76	0
224	40
21	525
2	525
16137	96
121	0
100	0
9	145
485	3
28	0
4	0
236	2
0	339
689	4
459	1088
955	5
171	1
32	1
333	4
0	2
0	2
122	1
4	23
2	23
28	113
99	1
0	5
0	5
0	5
61	1
1	112
1	102
0	104
2	113
2	103
0	0
425	3
135	0
31	0
10	194
40	192
68	1
28	1
284	199
0	0
132	0
231	0
80	1
0	200
1	125
0	196
2380	12
4	37
58	0
257	1
309	1
51	0
9	87
3	87
95	0
16	72
75	0
39	694
11	694
6	562
2106	17
0	0
801	2
44	0
9	1
43	1
213	0
16	11
689	6
36	0
7	0
0	0
0	1
54	1
176	1
0	0
0	0
7	0
0	0
794	7
0	0
0	0
0	3
0	3
