UniqueCount	AmbigCount
91	1734
278	10
850	3
8	853
130	320
589	5
679	3
37	674
1	674
296	4
3	13
0	13
0	322
316	644
48	644
298	352
60	663
9	663
467	1
239	3
439	2
286	1
3754	13
536	1
1453	9
340	655
38	655
838	2
15	277
6	274
44	258
7	260
42	59
550	4
1201	3
946	2
1451	7
348	0
66	518
38	1
183	3
2216	17
20	4360
221	108
322	1
1280	4
559	2
508	1
18	171
24	150
2	135
1	112
9	336
12	336
0	0
1012	6
74	534
4	534
848	7
532	0
1	4262
2731	10
5666	9
14	0
214	73
14	4237
7	193
75	3
608	4
189	0
47	170
0	679
789	4
1452	4
438	1
2	40
480	4
1392	8
1014	5
497	3
288	1
6556	34
1017	3
7	86
678	0
330	1
896	5
72	0
14	87
1448	11
817	3
4694	31
0	4
287	727
16	796
509	2
823	3
0	0
0	0
0	0
0	0
27	1
0	1207
448	3
90	530
4	530
583	5
80	0
572	7
3	740
3	708
124	1195
4	728
3	709
1	423
260	1136
5	183
10	183
1444	5
4771	30
25	994
1305	4
5	6
0	6
0	6
410	1
2367	9
1	13
0	13
77	464
0	207
0	260
1	0
1389	7
1	98
0	97
3	464
2	85
292	1
454	1
207	1
322	0
171	0
1	43
1	30
1	43
28	683
152	0
208	1
49	451
68	0
613	1
215	1
3	683
22	0
21	0
8	148
0	148
0	139
8	361
68	361
2	126
0	125
0	125
155	659
328	3
48	299
10	299
2	0
72	0
55	0
4	659
337	177
11	175
95	13
533	4
702	2
173	0
307	2
40	0
846	8
2011	5
1459	10
547	4
147	1
3383	45
608	3
1157	2
127	9
1506	5
549	1
7	352
65	352
1	0
81	1
17317	56
0	2
0	0
0	0
12382	41
107	0
0	19
1	19
0	740
0	0
0	0
4	2
0	2
1155	14
199	6
496	960
360	3
56	1
1	127
65	0
52	1
11	0
143	0
3	247
0	11712
0	247
609	3
1070	3
30	0
201	1
58	10110
471	2
315	1
0	9
5	17598
0	9
0	9
136	0
71	770
5	770
35	168
12	167
104	14587
260	3
142	3
102	14597
0	127
1	113
3281	24
228	1
13	0
5	126
0	126
267	3
0	0
0	0
1455	5
0	0
0	0
0	0
51	1167
97	1
5	206
1	206
26	0
5	13
0	0
0	0
0	0
3	10
68	0
1081	6
79	0
960	194
20	348
1	348
9943	37
43	0
46	0
10	140
345	1
33	0
3	0
460	3
0	195
537	1
668	1262
1035	2
95	0
106	1
237	1
0	0
0	0
244	1
8	47
5	47
28	96
138	1
0	2
0	2
0	2
109	1
0	98
0	86
2	87
0	96
1	89
4	0
383	0
135	2
158	0
6	98
16	98
127	0
70	0
155	114
8	0
194	0
157	0
57	1
0	350
0	244
0	346
473	2
0	9
38	0
295	0
239	1
31	0
8	39
2	39
129	3
34	170
30	0
56	1072
1	1072
14	854
421	5
1	0
620	3
10	0
17	0
36	0
171	1
7	6
544	3
19	0
1	0
0	0
0	20
74	2
119	1
0	0
0	0
64	0
37	0
974	1
0	0
0	0
0	2
0	2
0	2
213	1
59	0
398	7
57	2
165	1
0	1
0	1
161	0
180	0
126	1
466	1
7614	39
252	1
1	1
45	0
8	41
9	41
0	0
222	2018
0	2
0	2
27	1
1705	9
2	0
263	8
9	0
0	108
1	92
2128	9
136	1
23	0
0	0
0	0
13	0
138	0
76	0
143	1
812	4
0	3
212	9889
25	0
15	0
266	0
3	0
17	9877
0	32
0	32
0	0
0	0
1063	5
27	9883
52	0
3	0
16	13
3	9881
0	0
0	0
13	9887
0	0
0	0
176	2423
0	0
17	2423
0	0
1	0
99	0
472	25
1	0
0	0
6	0
787	2326
0	0
0	0
0	0
0	0
2	199
0	0
0	0
0	0
51	896
0	0
4	101
20	101
107	2
19602	17443
0	28902
1571	28131
0	568
0	568
61	0
0	62
0	62
176	4
0	5032
0	0
0	0
1	0
0	0
0	4902
8	0
25	0
0	0
3	0
4	0
0	0
1	0
36	2
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	37
30	0
7	0
28	0
0	0
0	0
0	0
5	0
26	895
951	5
4	0
8	0
0	0
1	0
8662	29
0	0
0	0
0	0
0	0
1	1
1092	6
0	0
0	0
78	199
0	148
0	0
14	0
0	0
3	0
0	0
0	0
15	8
0	0
33	0
0	0
1	0
351	1
32	353
0	0
4	0
0	0
173	0
0	0
336	492
16	0
89	0
0	0
5	0
32	3
0	0
247	3
0	0
0	0
0	1
0	0
4253	14
95	1
41	0
1	80
0	0
1381	4
75	0
0	0
53	5
20	4
31	1733
24	263
0	0
27	0
0	0
0	0
0	0
6	0
1509	5
0	0
0	0
1	17
9	0
3554	19
77	0
0	0
0	0
59	2
487	3
504	1972
1	1942
7	1444
31	0
44	1186
2940	17
0	1186
2154	8
433	2
0	0
0	379
1	371
88	367
0	0
1469	5
0	0
109	1
14	0
17	0
74	0
0	0
0	7
0	11
130	603
24	459
7	0
18865	62
33	0
326	3
95	0
82	603
18	0
23	0
0	224
132	0
0	0
76	0
6	3875
97	0
122	0
29	0
193	0
158	0
24	3439
51	0
28	0
19	0
5	47
367	2
0	1064
12	0
9	0
69	0
64	0
177	0
41	1
0	0
48	0
13	0
0	0
1	10
1	10
0	9
128	0
51	1
11168	50
9	0
0	0
2	0
55	0
1202	5
885	5
0	0
0	0
21	19
0	0
0	0
18	0
50	0
28	0
14	2
6	0
0	0
11	1
0	2
0	2
0	0
2	10
2	10
37	0
59	0
59	1
0	0
41	0
0	0
5	0
14	11
266	0
9	0
0	55
139	0
725	12
100	1
24	0
14	1
0	0
65	0
22	0
0	0
180	2
13	0
45	0
1158	10
8	0
37	0
30	1
37	0
0	0
52	0
0	321
3823	17
5	0
96	1
15	4
1	0
173	1291
26	0
49	0
8	2
5	4
1	26
107	0
2	8
2	0
0	0
54	0
0	0
4	1
267	0
10	5
1	2
0	0
44	0
9	0
0	0
0	0
0	0
7	409
2	0
8	0
20	0
0	0
74	1
32	0
3	0
0	0
3	1
4	0
0	0
9	0
5	11
16	0
15	242
0	1
5	0
87	1
2	0
0	0
0	1
0	1
2	0
15	0
1	0
7	0
132	1
1	12
3	0
32	1
0	0
0	0
0	0
0	0
0	0
13	0
4	0
0	0
16	0
0	0
0	0
0	16988
8	16857
11	16618
3360	14
0	0
11	0
1	0
0	0
0	0
1996	4982
43	1499
96	1948
6	0
0	0
6	0
199	1499
0	0
0	0
0	4
0	4
7092	37
3551	16
221	6
354	4
10	300
2745	2723
37	221
3	220
1	0
0	0
0	10826
26	10777
32	10701
5	10736
2	10715
2083	2721
