UniqueCount	AmbigCount
144	2678
381	20
1073	3
15	1832
214	602
583	5
1153	5
47	1070
0	1070
478	4
1	12
0	12
2	604
419	830
92	830
574	657
92	1060
4	1060
728	2
422	0
508	1
5089	12
5427	20
531	0
1920	4
356	865
24	864
1325	2
75	728
18	723
67	699
15	705
75	229
706	3
1789	2
983	5
1462	12
409	0
100	753
72	1
28	0
3761	26
35	9812
387	176
244	2
1778	4
1139	3
602	1
25	201
50	175
0	169
1	139
10	368
17	368
0	0
1809	6
28	181
3	181
337	2
959	0
0	9673
8007	40
10053	22
31	0
535	255
9	9633
11	356
939	4
956	6
295	2
54	506
0	1414
1174	2
69	0
402	1
1	22
339	1
3515	12
1821	5
1097	7
708	0
17533	91
153	1
2	120
1032	2
751	5
896	8
5	0
12	120
1690	11
234	2
7553	24
0	48
321	1096
36	1210
740	5
1034	7
0	0
0	0
0	0
0	0
74	0
1	2029
1053	4
88	542
6	542
960	4
148	0
411	3
1	458
4	432
128	2012
2	454
3	428
0	309
365	1435
4	172
5	172
1526	5
7573	18
25	1716
3042	10
6	0
0	0
0	0
879	8
2774	8
1	18
0	18
89	809
0	511
0	584
0	0
355	1
3	230
0	230
2	809
0	225
280	3
1051	1
411	0
380	1
423	1
0	105
3	67
0	105
44	1045
325	2
304	1
14	150
42	0
889	1
1721	10
6	1045
12	0
87	0
8	281
0	281
0	259
17	425
99	425
6	172
0	171
0	172
203	975
196	0
66	558
19	558
0	0
95	0
2	0
9	973
481	234
12	230
125	18
804	8
732	1
262	1
255	0
27	0
1610	7
3341	14
1900	10
796	2
83	0
761	20
1339	2
3719	9
58	8
2218	8
1118	2
19	581
107	581
0	0
61	0
5773	16
0	1
0	4
0	4
13236	55
169	0
0	41
3	41
0	1128
0	0
0	0
2	0
0	0
1970	9
596	10
334	590
564	0
117	1
2	171
11	0
19	0
18	0
523	4
10	483
0	22978
1	483
701	4
3858	15
0	0
59	0
63	19977
179	1
162	5
0	12
15	32769
0	12
0	12
876	6
43	675
2	675
32	224
15	224
68	27768
244	2
178	2
77	27793
0	217
4	192
2126	1
626	4
46	0
8	163
1	163
407	0
0	0
0	0
2029	13
0	0
0	0
0	0
105	2024
125	2
3	183
2	183
85	0
10	49
0	0
0	0
5	0
3	3
87	1
81	0
86	0
108	28
25	649
2	649
16774	68
112	1
238	1
5	134
719	0
32	0
10	1
107	0
0	332
659	2
1050	1755
1306	7
109	0
27	1
374	0
0	1
0	1
149	0
4	16
0	16
43	178
16	0
0	4
0	4
0	4
102	1
0	162
2	141
1	138
0	178
5	149
0	0
465	2
138	1
41	0
10	197
36	197
73	0
24	0
243	161
0	0
187	0
301	2
121	0
0	234
0	152
0	234
3333	12
1	37
48	0
277	0
305	0
106	0
7	71
6	71
114	0
28	91
95	0
50	905
4	906
1	749
1556	7
0	0
983	4
43	0
11	1
60	0
208	2
17	17
1040	7
47	1
20	0
0	0
0	2
82	0
235	1
0	1
0	1
17	0
2	0
380	2
0	0
0	0
0	0
0	0
0	0
374	1
18	0
194	0
0	0
296	3
0	0
0	0
81	0
480	2
1089	2
521	2
7892	27
330	0
0	13
90	0
11	51
9	51
3	0
336	3333
0	0
0	0
55	0
2338	14
0	0
438	18
5	0
0	134
9	122
1984	9
89	0
52	0
0	0
0	0
4	0
167	1
142	0
429	0
2073	13
0	1
337	16799
4	0
34	0
890	1
3	0
10	16790
0	16
0	16
0	11
0	11
958	6
29	16792
113	1
3	0
55	61
0	16792
0	0
0	0
18	16797
3	0
0	0
449	5003
107	1
22	5003
2	0
218	0
11	0
795	55
7	0
0	0
5	0
398	6451
0	0
0	0
1	0
0	0
6	481
0	0
1	0
0	0
20	322
0	0
4	17
1	17
44	0
32578	25761
0	40305
1866	39121
0	1240
0	1240
119	0
0	32
0	32
140	0
0	6254
401	11
2	0
526	10
0	0
0	6077
13	0
9	0
3	0
0	0
0	0
0	0
2	0
74	3
3	0
0	0
9	0
0	0
0	0
0	0
1	0
6	81
21	0
2	0
10	0
0	0
0	0
7	0
9	0
6	321
2192	8
3	0
12	0
1	0
0	0
13681	46
0	0
0	0
0	0
1	0
1	0
1502	8
1	0
0	0
175	481
0	110
0	0
4	0
0	0
5	0
0	0
0	0
13	9
4	0
55	0
0	0
1	0
525	0
32	673
0	0
8	0
0	0
1	0
0	0
733	1027
24	0
1	0
1	0
4	0
40	0
0	0
182	0
0	0
0	0
0	1
0	0
7444	32
246	2
37	0
1	104
0	0
2392	4
108	0
2	0
162	9
16	11
24	2677
51	451
0	0
62	3
1	0
0	0
0	0
448	1
2730	10
2	0
26	0
2	12
1	0
6233	24
1	0
0	0
0	0
114	0
268	1
381	1790
0	1774
4	1378
6	1
50	2203
3740	8
0	2203
4281	14
610	3
1	0
0	589
5	582
149	581
0	0
627	3
0	0
144	0
76	0
4	0
259	1
0	0
0	2
0	2
176	1018
15	331
31	0
20843	56
10	0
372	1
155	0
104	1017
2	0
73	0
0	162
313	0
0	0
111	1
14	4790
196	1
141	3
161	0
383	2
330	2
37	4277
205	2
66	0
62	2
7	87
375	5
0	1189
31	0
0	0
240	2
199	0
380	3
59	1
0	0
186	4
17	0
0	0
0	0
0	0
0	19
232	0
15	0
5499	17
12	1
0	0
0	0
103	0
527390	2159
1054	5
0	0
0	0
26	41
0	0
0	0
44	0
53	0
7	0
46	6
12	0
0	0
1	0
0	1
0	1
3	0
5	37
4	37
37	0
73	0
38	0
0	0
30	0
0	0
5	0
64	4
992	8
2	0
0	178
163	1
2133	20
15	1
90	0
31	0
1	0
117	1
23	0
0	0
372	2
11	0
80	0
469	1
6	0
228	0
19	0
97	0
0	0
54	0
0	550
6660	38
12	0
140	0
10	0
1	0
302	2411
58	0
148	0
10	1
14	0
1	97
249	1
0	0
0	0
1	0
78	0
0	0
13	13
401	0
6	11
0	0
0	0
27	0
5	0
0	0
0	0
0	0
3	597
2	0
9	0
1	0
0	0
150	0
37	0
1	0
0	0
3	0
0	0
0	0
21	0
5	143
34	0
13	408
0	0
5	0
220	2
8	0
0	0
0	0
0	0
6	0
9	0
5	0
2	0
173	0
0	15
6	0
50	2
0	0
0	0
1	0
0	0
0	0
14	0
7	0
0	0
18	0
0	0
1	0
0	17360
2	17274
9	17015
2614	8
0	0
11	0
0	0
0	0
2	0
3214	7736
14	2173
145	1920
16	0
0	0
12	0
240	2173
0	0
0	0
10	46
0	46
9523	26
5577	10
258	4
753	2
34	526
3931	3578
50	298
4	298
10	0
0	0
0	18930
49	18876
32	18776
3	18703
1	18679
3003	3566
1	18799
12	18802
6	18731
1	18617
7	18589
0	18577
0	18562
2	18590
0	18697
0	18482
15	15967
65	13938
14	18436
21	18407
0	3983
9	18753
0	18208
97	18617
174	14153
1	15521
8	14302
109	3354
0	17901
0	16393
0	17332
8	16403
5	16218
1	17146
0	3846
10	17646
0	17106
2	16930
3	19061
2016	205
96	17
0	15331
283	15331
370	2
14	1190
1297	2572
76	2565
4548	13
2780	6
1915	61
159	155
15	6298
306	6298
3	0
4065	24
62	0
437	1
61	4041
9141	8623
13899	47
449	62
4822	17
0	188
0	188
7953	32
43	2185
0	314
2	274
10	222
5	165
0	293
0	286
1886	8
1518	10
9	0
4422	16
30	165
2	144
7	138
2	145
18	0
23963	92
122	435
6210	21
3473	10
3	435
4	180
2471	11
154	1
18	2945
240	2947
8334	20
4696	20
333	1146
9	1146
2237	6
2871	13
1140	6
1174	10
69	193
4	191
6524	23
2695	55
63	41
21	1837
352	10
20	7705
155	7705
732	0
0	0
4662	13
44	1137
4	1204
35	1204
17	340
3	340
4627	1444
4	134
7	893
0	886
0	879
0	872
53	776
0	776
0	109
10	1891
2	106
1	91
0	365
136	0
43	1892
1539	8
2891	8
34	763
1619	777
2641	11
1039	53
43	23
1	1817
69	975
109	919
528	7
0	704
0	683
0	692
0	684
0	673
1	673
1	679
2	672
0	661
0	667
2509	7
277	0
0	4602
35	4206
3	4072
48	3966
1524	2937
8	2925
762	3375
13	3373
0	266
75	325
0	2054
352	4
0	861
14	878
43	872
34	1699
119	3229
29	3229
53	0
2436	10
690	0
646	3
8696	22
173	1533
122	3731
9	3731
9170	745
136	703
2401	16
86	4328
46	4327
64	4311
27	1668
1428	3
1	1450
80	2514
0	2416
4	1648
0	1550
95	1839
8	1511
28846	157
4112	14
1409	2361
0	2358
0	63
6	63
16	1769
25	4695
369	4696
272	319
90	316
6	319
10672	37
70	0
7	99
11	99
313	2
90	6047
8456	35
2667	5
29	108
186	541
10761	53
70	1568
0	1515
135	6048
127	1211
334	3
527	1
59	1132
5	1131
5029	13
46	438
1	3353
5992	9
505	1
1874	13
750	3
2657	9
53	1788
19	1788
2721	13
464	1
3537	6578
9801	32
270	6571
853	0
509	0
6684	24
248	41
95	103
2866	9
14799	56
136	4283
89	4244
1735	10
3517	11
109	1609
61	1609
1	14
0	15
845	8
3	0
45	0
2508	14
5883	21
14321	72
3018	8
1101	6
185	1277
664	2
116	0
2505	7
280	2637
116	1150
18221	97
1584	10
13187	52
608	1821
2	1149
605	0
2717	7
199	1
6053	16
53641	201
248	1261
0	1260
1181	2
290	2316
77	2316
6223	18
6	0
1144	5
0	211
0	214
0	193
1	193
25	0
117	8638
319	8638
6	0
9	8538
192	1
34569	130
26558	104
1337	7
24	0
4025	10
20	2444
243	2449
0	16
4079	20383
19959	75
37272	96
2413	5
4254	42
12588	139
4152	12
12353	20415
24	0
8138	37
356	1
342	5
8	2
39	0
158	1
443	1
566	2
8	0
368	0
2285	20
2589	6
6018	14
3850	12
79	4196
9	4195
1	0
1782	6
28	6845
35	6857
4	6785
1863	10928
42	7310
3007	7
0	11027
5454	20
1	0
5185	217
4680	12
374	395
20	823
57	804
10	832
1	795
300	677
112	551
0	401
2580	13
9626	39
29	2580
136	2580
131	914
1	701
0	715
1604	6
293	2
91	0
20874	47
268	603
252	2
2139	5
6275	22
0	3098
953	3565
62	3564
365	4155
22	4154
2972	9
4305	20
488	0
81	4481
5	4482
9	3566
0	2285
718	7
1918	6
7476	44
2450	9
0	0
0	0
0	564
3923	16
2438	9
21	3
32	3
1	564
3774	14
0	4268
58	3420
45	3696
16	6579
29	4342
18	4313
1082	9
542	856
140	855
12475	43
0	968
10125	41
1152	5
3	7131
693	2
29	964
9	964
1485	101
5	178
12	89
7050	26
17	968
63	856
35	9306
10	9306
2	5328
96	5328
1037	2
3495	34
2202	6
8	1476
609	5240
102	5238
542	3
20	1060
74	1060
59	1
2632	21
143	21797
1132	199
33	1183
1828	11
28	21847
2698	15
0	6289
316	6236
2164	21849
795	5736
33	5433
156	2653
48	2653
380	1630
24	1627
0	966
1	989
412	1
4263	11
0	8902
275	5
163	8500
121	8480
43	8479
292	7332
2	4084
632	3881
0	357
1428	3
23	2791
12873	101
48	0
29	0
283	3519
40	3518
4157	17
27	1285
12	1298
3081	14
3481	16839
793	16839
1547	7
738	5
1099	2
2799	8
7619	25
0	0
0	0
0	0
249	7937
26	7952
151	7840
4222	14
0	5714
9	6305
0	5494
0	6084
4960	17
2	897
70	3
1752	11
1	3284
7	3401
399	0
1052	5473
109	5474
33	897
5595	20
13	2124
23	2119
0	2124
21365	78
42	1126
20	1126
304	11499
131	11503
49	11490
1384	7013
9185	26
174	2
831	1
155	40
17340	72
1	87
30	7008
0	90
1	88
0	1024
19	991
25	926
17	937
161	2
258	2257
71	2266
7	2257
2	2269
544	2
3817	16
5696	23
4026	12
10761	34
0	1909
39	1528
10	672
0	285
1	0
0	84
110	1
11	74
5	86
14	80
0	85
2	56
277	2
310	17046
14	371
8	360
2	371
68	172
2	0
120	0
1703	6
0	0
49	0
161	1
180	1
64	1865
78	0
1	1903
33	1817
1	1871
7	1857
0	1895
2	1902
0	1814
1	755
7	728
43	2430
25	2329
6948	30
250	2018
964	4
402	1972
499	4079
1156	7333
37	7328
0	30
3	30
378	2
4304	21
6	102
98	1304
9657	49
175	106
33	105
1161	5
32	212
5	212
5874	26
4	1304
159	100
1	100
538	8
183	0
11462	37
508	10944
15	10944
500	217
2591	6
54	0
23	0
2696	13
3943	297
965	8948
299	8945
880	3
14985	75
2232	13
54	0
1106	7
6401	4830
137	0
410	1
769	7462
12	7441
0	7461
18721	71
0	1316
9	1282
1246	2
2158	14
791	4
2	1032
118	1032
4997	13
3848	15
348	1874
1	1467
41	1406
5	1419
245	843
0	0
0	0
9	0
1108	4
1	150
0	147
16035	58
1388	6
0	39
0	39
0	39
0	39
2361	11
6505	20
4348	8
920	1
54	3213
306	451
9083	28
0	12703
3116	6
0	12654
1364	6514
197	6510
2107	15
2650	7
205	1
1669	9
28	12207
19082	82
5230	4815
6460	28
0	5576
198	4193
23	12199
9	11204
0	13780
33	13312
3994	13
122	2347
16	2346
4111	8
689	3822
5	0
1689	7
239	1
83	0
20	712
31	11324
93	712
1004	2
1	0
118	0
0	2978
44	3061
19	3060
3	2905
48	2846
0	2810
0	2756
190	0
10	12053
1210	6
850	4
1214	4
375	3
1232	2346
0	10357
3308	3
225	410
3	410
906	5
0	0
1961	10
6	91
23	215
4	215
1	0
0	0
25	340
11	340
3690	16
3433	13
6419	28
2119	3
3891	16
1836	4
0	1614
38009	139
0	1579
280	3
2144	7
77	291
0	291
1	812
2	812
0	811
139	817
2069	2
0	169
34	150
1926	6
2274	12
15	4
1387	6
12	1516
2257	11
7	0
762	2
218	825
22	825
3	32
0	32
8	348
0	363
8210	53
3147	9
70	0
318	2
1521	5
7431	32
156	1488
354	1
14	623
0	623
2748	16
1887	4
4319	20
2	307
2	307
324	4576
34	4576
1574	5
2410	4
493	1
4529	10
181	3420
82	3461
24	3426
788	2543
24	3431
9	3399
3678	18
10281	54
54663	193
248	4659
1239	7
526	2034
43	2031
3	1980
727	5
0	1604
4279	20
9480	41
17	2
9408	41
4517	222
7601	45
577	2
5687	17
696	1
19	131
1	131
320	1
247	1
4695	17
828	9
3120	15
1653	6
6481	30
61	0
708	2
13148	52
225	49
119	13
1205	11
376	1571
120	1563
3	1567
0	1593
6639	14
1312	6
20	2680
2152	11
63	1451
106	1727
3	1727
25	384
7	384
42	1091
470	0
15195	60
3754	168
1968	171
79	3555
1	3554
76	182
3	168
70	0
5	0
226	2
2	0
277	3187
79	3186
6780	19
3788	16
127	2028
9	2028
3295	13
63	4803
0	4802
446	2
2440	11
168	2373
8	455
132	1
284	0
735	2
2194	8
2964	10
1405	8
4062	15
2443	9
1039	72
977	4350
50	70
1459	10
3119	182
2304	8
10397	31
2742	12
1466	5811
59	5810
3120	19
217	1
1877	5
526	1
8	0
0	19
43	19
442	9
1416	8
2782	169
4211	14
340	1500
2185	11
2350	9826
4447	17
114	651
0	589
43	0
12	0
1479	235
11781	30
3388	14
572	2
6952	31
122	3
1291	3
2212	11
2828	10
112	2534
53	2535
29	2517
5044	17
5	986
963	2
89	0
1770	13
3763	24
11	46
4	46
111	564
3	58
35	4709
691	4476
175	0
5011	16
63	2410
11	2410
768	2112
5462	21
1727	939
7	936
2	964
11	895
3657	20
66	0
88	879
6	879
0	1218
75	1174
43	616
11	872
3562	17
1898	4
4322	12
1	0
1555	4
2	0
2285	6
21	30
3	30
3492	8
2223	11
67	330
0	328
1600	11
0	102
0	102
310	98
90	2
1109	8
374	0
3004	20
898	5
820	2
0	1893
0	1919
61	1211
1206	7
58	2048
83	0
58	0
1415	299
2727	7
6207	29
