	Seq_ID	genotype	condition	Flowcell	Lane	ExpID	group
cerk1_microbiota1_FP200009168_L01_397	cerk1_microbiota1_FP200009168_L01_397	cerk1	microbiota	FP200009168	L01	397	cerk1_microbiota
cerk1_microbiota2_FP200009168_L01_398	cerk1_microbiota2_FP200009168_L01_398	cerk1	microbiota	FP200009168	L01	398	cerk1_microbiota
cerk1_microbiota3_FP200009168_L01_399	cerk1_microbiota3_FP200009168_L01_399	cerk1	microbiota	FP200009168	L01	399	cerk1_microbiota
cerk1_germfree1_FP200009168_L01_388	cerk1_germfree1_FP200009168_L01_388	cerk1	germfree	FP200009168	L01	388	cerk1_germfree
cerk1_germfree3_FP200009168_L01_389	cerk1_germfree3_FP200009168_L01_389	cerk1	germfree	FP200009168	L01	389	cerk1_germfree
cerk1_germfree4_FP200009168_L01_390	cerk1_germfree4_FP200009168_L01_390	cerk1	germfree	FP200009168	L01	390	cerk1_germfree
fls2_microbiota1_FP200009168_L01_400	fls2_microbiota1_FP200009168_L01_400	fls2	microbiota	FP200009168	L01	400	fls2_microbiota
fls2_microbiota2_FP200009168_L01_401	fls2_microbiota2_FP200009168_L01_401	fls2	microbiota	FP200009168	L01	401	fls2_microbiota
fls2_microbiota3_FP200009167_L01_403	fls2_microbiota3_FP200009167_L01_403	fls2	microbiota	FP200009167	L01	403	fls2_microbiota
fls2_germfree2_FP200009168_L01_392	fls2_germfree2_FP200009168_L01_392	fls2	germfree	FP200009168	L01	392	fls2_germfree
fls2_germfree3_FP200009168_L01_393	fls2_germfree3_FP200009168_L01_393	fls2	germfree	FP200009168	L01	393	fls2_germfree
fls2_germfree1_FP200009168_L01_391	fls2_germfree1_FP200009168_L01_391	fls2	germfree	FP200009168	L01	391	fls2_germfree
kit_microbiota1_FP200009168_L01_394	kit_microbiota1_FP200009168_L01_394	kit	microbiota	FP200009168	L01	394	kit_microbiota
kit_microbiota2_FP200009168_L01_395	kit_microbiota2_FP200009168_L01_395	kit	microbiota	FP200009168	L01	395	kit_microbiota
kit_microbiota3_FP200009168_L01_396	kit_microbiota3_FP200009168_L01_396	kit	microbiota	FP200009168	L01	396	kit_microbiota
kit_germfree1_FP200009168_L01_384	kit_germfree1_FP200009168_L01_384	kit	germfree	FP200009168	L01	384	kit_germfree
kit_germfree3_FP200009168_L01_385	kit_germfree3_FP200009168_L01_385	kit	germfree	FP200009168	L01	385	kit_germfree
kit_germfree4_FP200009168_L01_386	kit_germfree4_FP200009168_L01_386	kit	germfree	FP200009168	L01	386	kit_germfree
