Name,GeneID,RAPDB,Product
XM_015755112.1,LOC4327659,Os01g0586600,SNF1-related protein kinase regulatory subunit gamma-1-like%2C transcript variant X1
XM_015755113.1,LOC4347054,Os09g0414600,zinc-finger homeodomain protein 9-like
XM_015755114.2,LOC4346596,Os09g0277800,enoyl-[acyl-carrier-protein] reductase [NADH] 2%2C chloroplastic-like
XM_015755115.2,LOC4347097,Os09g0423400,probable folate-biopterin transporter 6%2C transcript variant X1
XM_015755116.2,LOC4325165,Os01g0271000,RPII140-upstream gene protein%2C transcript variant X4
XM_015755117.2,LOC9271090,Os09g0370500,putative protein TPRXL
XM_015755118.2,LOC4347733,Os09g0541700,uncharacterized LOC4347733
XM_015755119.2,LOC4346976,Os09g0396300,pyrrolidone-carboxylate peptidase%2C transcript variant X1
XM_015755120.2,LOC4346976,Os09g0396300,pyrrolidone-carboxylate peptidase%2C transcript variant X2
XM_015755121.2,LOC4346909,Os09g0375400,uncharacterized LOC4346909
XM_015755122.2,LOC9268397,Os09g0491820,cinnamoyl-CoA reductase 1%2C transcript variant X1
XM_015755123.2,LOC9268397,Os09g0491820,cinnamoyl-CoA reductase 1%2C transcript variant X2
XM_015755124.2,LOC4325165,Os01g0271000,RPII140-upstream gene protein%2C transcript variant X5
XM_015755125.2,LOC4346956,Os09g0388400,endoribonuclease YBEY%2C chloroplastic%2C transcript variant X1
XM_015755126.2,LOC4346956,Os09g0388400,endoribonuclease YBEY%2C chloroplastic%2C transcript variant X2
XM_015755127.2,LOC9268311,Os09g0565600,delta(14)-sterol reductase%2C transcript variant X1
XM_015755128.1,LOC4346646,Os09g0296400,uncharacterized LOC4346646%2C transcript variant X1
XM_015755129.1,LOC4346646,Os09g0296400,uncharacterized LOC4346646%2C transcript variant X2
XM_015755130.2,LOC4347617,Os09g0521900,flap endonuclease GEN-like 1
XM_015755131.2,LOC4347740,Os09g0542500,nitrate regulatory gene2 protein
XM_015755132.2,LOC4347642,Os09g0527600,ras-related protein RABA3
XM_015755133.1,LOC4347435,Os09g0489200,lysine-specific demethylase JMJ30
XM_015755134.2,LOC4325169,Os01g0271500,NEDD8-activating enzyme E1 catalytic subunit
XM_015755135.2,LOC4347539,Os09g0510200,cilia- and flagella-associated protein 20
XM_015755138.2,LOC4346949,Os09g0386400,enhanced ethylene response protein 5
