"XM_015766610.2","LOC4326813"
"XM_015763703.2","LOC4326455"
"XM_015763707.2","LOC4326455"
"XM_026027077.1","LOC4326455"
"XM_026027108.1","LOC112936026"
"XM_026027124.1","LOC112936026"
"XM_026027132.1","LOC112936026"
"XM_026027147.1","LOC112936026"
"XM_015765670.2","LOC4326456"
"XM_015765671.2","LOC4326456"
"XM_015765672.1","LOC4326457"
"XM_026027208.1","LOC4326458"
"XM_015766704.2","LOC4326458"
"XM_015766713.2","LOC4326458"
"XM_015766720.2","LOC4326458"
"XM_015766332.1","LOC4326459"
"XR_003243574.1","LOC112939716"
"XM_026027292.1","LOC107279812"
"XM_026027301.1","LOC107279812"
"XM_015765343.2","LOC107279812"
"XM_015765344.2","LOC107279812"
"XM_026027333.1","LOC107277360"
"XM_015765348.2","LOC4326460"
"XM_015765345.2","LOC4326461"
"XR_001541419.2","LOC4326462"
"XR_001541429.2","LOC4326462"
"XR_001541435.2","LOC4326462"
"XR_001541436.2","LOC4326462"
"XR_001541437.2","LOC4326462"
"XR_001541416.2","LOC4326462"
"XR_001541417.2","LOC4326462"
"XR_001541422.2","LOC4326462"
"XR_001541430.2","LOC4326462"
"XR_003243788.1","LOC4326462"
"XR_001541418.2","LOC4326462"
"XR_001541421.2","LOC4326462"
"XR_001541431.2","LOC4326462"
"XR_001541433.2","LOC4326462"
"XR_001541434.2","LOC4326462"
"XM_015761674.2","LOC4326462"
"XM_015790006.2","LOC4326463"
"XM_015789904.2","LOC4326464"
"XM_015789834.2","LOC4326464"
"XM_015790108.2","LOC107278092"
"XM_015778489.2","LOC4326465"
"XR_001547540.2","LOC107281753"
"XM_015775886.2","LOC4326466"
"XM_015775893.2","LOC4326466"
"XM_015766964.2","LOC4326467"
"XM_015766966.2","LOC4326467"
"XM_015766967.2","LOC4326467"
"XM_015766968.2","LOC4326468"
"XM_015766244.2","LOC4326439"
"XM_015766246.2","LOC4326440"
"XM_015766298.2","LOC4326441"
"XR_003238326.1","LOC112936174"
"XR_003238324.1","LOC112936174"
"XM_015761792.1","LOC4326442"
"XM_015761781.2","LOC9266052"
"XR_001541469.1","LOC107279520"
"XM_015772731.2","LOC4326444"
"unassigned_transcript_1","TRNAL-AAG"
"unassigned_transcript_2","TRNAS-AGA"
"XM_015761919.2","LOC4326449"
"XM_026022516.1","LOC4326450"
