,Kit_microbiota_vs_germfree_log2FoldChange,Kit_microbiota_vs_germfree_pvalue,Kit_microbiota_vs_germfree_padj,MH63_microbiota_vs_germfree_log2FoldChange,MH63_microbiota_vs_germfree_pvalue,MH63_microbiota_vs_germfree_padj,RAPDB,Product
LOC107279218,6.789629395,0,0,3.800748865,1.09E-11,1.78E-10,0,aspartic proteinase nepenthesin-1-like
LOC4340812,3.791258284,0,0,0.249217446,0.405527951,0.571942586,Os06g0298200,zinc finger protein CONSTANS-LIKE 9%2C transcript variant X2
LOC4326391,8.27539553,7.83E-273,1.59E-269,0,0,0,Os01g0971800,transcription factor PCL1-like
LOC4343452,5.93889223,1.08E-271,2.03E-268,8.120764459,8.26E-87,2.04E-84,Os07g0531200,uncharacterized LOC4343452
LOC4324116,4.811628644,1.51E-262,2.32E-259,1.639073527,0.014528602,0.043074331,Os01g0687300,uncharacterized LOC4324116%2C transcript variant X1
LOC4347435,3.534106482,1.48E-249,2.00E-246,0.229168725,0.666409316,0.790243657,Os09g0489200,lysine-specific demethylase JMJ30
LOC9269383,7.860169778,6.99E-238,7.42E-235,1.788297796,0.004481399,0.015931393,Os02g0585700,glycine-rich cell wall structural protein
LOC4326932,5.446475161,3.30E-234,3.36E-231,-0.265542974,0.705392056,0.81932041,Os01g0702000,bifunctional nuclease 1-like%2C transcript variant X4
LOC4331855,6.816769559,6.38E-233,6.23E-230,-0.998555202,0.450975303,0.614222655,Os03g0184100,uncharacterized LOC4331855%2C transcript variant X2
LOC4352660,4.541864872,3.27E-230,3.07E-227,-1.116482453,0.000319801,0.001583196,Os12g0586100,serine/threonine-protein kinase SAPK9-like
LOC4341932,6.100211178,8.39E-229,7.59E-226,6.900116125,9.84E-115,4.21E-112,Os06g0695200,peroxidase 16
LOC4332926,4.702292798,5.20E-228,4.53E-225,5.322871992,0,0,Os03g0369000,peroxidase 2
LOC9267999,3.005486628,1.82E-222,1.53E-219,5.254956141,4.63E-27,2.10E-25,Os10g0498100,bifunctional epoxide hydrolase 2%2C transcript variant X4
LOC107276470,5.027373364,9.19E-215,7.48E-212,4.578322034,1.36E-16,3.38E-15,Os10g0539200,aspartic proteinase nepenthesin-1
LOC4330753,3.474269356,1.94E-186,1.24E-183,0.447582946,0.052783503,0.124499854,Os02g0753000,probable trehalose-phosphate phosphatase 4
LOC4324968,3.875792956,1.05E-184,6.24E-182,6.353022484,1.70E-282,4.73E-279,Os01g0895200,cytochrome b561 and DOMON domain-containing protein At3g07570
LOC4341465,4.007542374,1.64E-180,9.56E-178,1.414942209,9.61E-12,1.57E-10,Os06g0603600,SPX domain-containing protein 1-like
LOC4350698,4.722425506,1.43E-177,8.13E-175,1.87842528,0.030262668,0.078841094,Os11g0547000,adagio-like protein 3%2C transcript variant X1
LOC4332422,4.953927933,5.48E-171,2.84E-168,-0.347774096,0.350667167,0.518628003,Os03g0277600,cysteine-rich repeat secretory protein 55
LOC4343921,3.474096744,1.14E-164,5.69E-162,0.15676676,0.67267385,0.795000942,Os07g0618700,uncharacterized LOC4343921%2C transcript variant X2
LOC4342302,2.478955671,1.70E-161,7.99E-159,1.395401748,2.86E-10,3.94E-09,Os07g0123900,transcription factor Maf
LOC4328109,4.647939202,2.49E-155,1.10E-152,1.445043351,0.00289433,0.010906717,Os02g0120100,serine/threonine-protein kinase STY46
LOC4330031,2.819500668,1.83E-148,7.46E-146,2.088745835,1.94E-39,1.58E-37,Os02g0625300,phosphoenolpyruvate carboxylase kinase 2
LOC4330713,2.184840328,1.73E-138,6.39E-136,1.678223832,4.85E-20,1.53E-18,Os02g0745100,aquaporin NIP2-1-like
LOC4337884,2.107313923,9.00E-138,3.18E-135,0.665736667,0.002243604,0.008774328,Os05g0160300,non-specific lipid-transfer protein
