ID,Raw_kit_germfree1,Raw_kit_germfree3,Raw_kit_germfree4,Raw_kit_microbiota1,Raw_kit_microbiota2,Raw_kit_microbiota3,Raw_MH63_germfree2,Raw_MH63_germfree3,Raw_MH63_microbiota1,Raw_MH63_microbiota3,Scale_kit_germfree1,Scale_kit_germfree3,Scale_kit_germfree4,Scale_kit_microbiota1,Scale_kit_microbiota2,Scale_kit_microbiota3,Scale_MH63_germfree2,Scale_MH63_germfree3,Scale_MH63_microbiota1,Scale_MH63_microbiota3,Kit_microbiota_vs_germfree_log2FoldChange,Kit_microbiota_vs_germfree_pvalue,Kit_microbiota_vs_germfree_padj,MH63_microbiota_vs_germfree_log2FoldChange,MH63_microbiota_vs_germfree_pvalue,MH63_microbiota_vs_germfree_padj,cl,Kit_microbiota_vs_germfree_log2FoldChange,Kit_microbiota_vs_germfree_pvalue,Kit_microbiota_vs_germfree_padj,MH63_microbiota_vs_germfree_log2FoldChange,MH63_microbiota_vs_germfree_pvalue,MH63_microbiota_vs_germfree_padj,RAPDB,Product,Gene
LOC4327719,12006.79475,10920.80877,9269.866121,37207.98362,47383.0188,38029.54086,179182.2762,212333.1157,157717.8835,157893.3879,-0.923130781,-0.936643903,-0.957186884,-0.609547779,-0.482937956,-0.599324992,1.157064307,1.569566267,0.889978945,0.892162777,1.929389806,1.35E-53,7.78E-52,-0.310916845,0.018988229,0.053930159,1,1.929389806,1.35E-53,7.78E-52,-0.310916845,0.018988229,0.053930159,Os01g0256500,protein SENESCENCE-ASSOCIATED GENE 21%2C mitochondrial,LOC4327719
LOC4336456,516.763029,369.0279942,506.2943218,1218.104193,1248.768711,1269.974274,1665.257403,1312.556488,1009.873141,919.5694606,-1.153086716,-1.502987612,-1.177881174,0.507994572,0.580621503,0.630845511,1.567048093,0.731698737,0.014812763,-0.199065677,1.421945121,1.14E-24,2.13E-23,-0.627023337,6.04E-04,0.002782855,1,1.421945121,1.14E-24,2.13E-23,-0.627023337,6.04E-04,0.002782855,Os04g0526800,GEM-like protein 4,LOC4336456
LOC4327515,180.1019213,222.6267243,190.6049212,577.3005656,874.1380979,623.0258725,662.6256257,792.5862356,318.6659856,433.0382501,-1.206700097,-1.039752225,-1.165466432,0.352659712,1.518012424,0.532172423,0.68763686,1.197848451,-0.662712257,-0.21369886,1.808585241,1.20E-21,1.89E-20,-0.949471096,4.82E-05,2.87E-04,1,1.808585241,1.20E-21,1.89E-20,-0.949471096,4.82E-05,2.87E-04,Os01g0825800,amino acid transporter AVT6C%2C transcript variant X3,LOC4327515
LOC4331344,18.83418785,19.35884559,17.01829653,153.9468175,203.2309863,89.44945748,214.4356981,275.7736969,38.97353781,33.11468972,-0.898895628,-0.893510659,-0.917533528,0.487870045,0.993711681,-0.174116367,1.108714325,1.738273762,-0.692189865,-0.752323765,3.024883854,3.07E-15,3.21E-14,-2.771776128,2.13E-15,4.83E-14,1,3.024883854,3.07E-15,3.21E-14,-2.771776128,2.13E-15,4.83E-14,Os03g0109300,probable cytokinin riboside 5'-monophosphate phosphoribohydrolase LOGL3,LOC4331344
LOC4352610,501.4602514,410.165541,392.2717351,892.8915415,1417.719772,1014.107221,10906.27688,10426.77191,11804.39683,9156.636254,-0.819982285,-0.837845193,-0.841346331,-0.743394046,-0.640705091,-0.71967674,1.215845215,1.122024302,1.391573185,0.873506986,1.352639425,1.35E-13,1.24E-12,-0.025594947,0.874637737,0.925944845,1,1.352639425,1.35E-13,1.24E-12,-0.025594947,0.874637737,0.925944845,Os12g0576100,uncharacterized LOC4352610,LOC4352610
LOC4335776,422.5920898,353.2989321,290.1619559,842.8588258,783.5411522,695.8335704,1444.060219,1592.540471,1320.515163,1199.770681,-1.001299031,-1.14832057,-1.282280339,-0.109605472,-0.235461703,-0.421553723,1.165983015,1.481018378,0.903853464,0.647665982,1.127833751,1.88E-12,1.57E-11,-0.269450116,0.068066961,0.153000984,1,1.127833751,1.88E-12,1.57E-11,-0.269450116,0.068066961,0.153000984,Os04g0411651,uncharacterized LOC4335776,LOC4335776
LOC107276601,2.354273481,0,6.807318613,76.01124114,73.45698302,59.28626833,284.9483376,351.5588349,14.90164681,21.2273652,-0.692945485,-0.711761693,-0.657355132,-0.104252268,-0.124666826,-0.237924321,1.565648833,2.098024102,-0.592662324,-0.542104887,4.365103709,1.90E-12,1.58E-11,-4.116892458,8.57E-28,4.09E-26,1,4.365103709,1.90E-12,1.58E-11,-4.116892458,8.57E-28,4.09E-26,Os02g0752600,3'%2C5'-nucleoside bisphosphate phosphatase%2C transcript variant X1,LOC107276601
LOC4348283,319.0040566,196.0083116,222.0887697,702.3823548,1127.972784,592.8626833,3107.385769,3184.02837,1710.250541,1693.943743,-0.860065149,-0.969506068,-0.946299823,-0.518937305,-0.140249345,-0.61638729,1.621021147,1.6892173,0.377858114,0.363348417,1.71915389,4.49E-12,3.64E-11,-0.886122433,5.76E-14,1.16E-12,1,1.71915389,4.49E-12,3.64E-11,-0.886122433,5.76E-14,1.16E-12,Os10g0210500,WAT1-related protein At4g08290%2C transcript variant X1,LOC4348283
LOC4350708,21.18846133,9.679422797,19.57104101,80.82207919,77.53792652,93.60989737,82.10375829,122.098278,60.75286776,54.34205492,-1.12828075,-1.445136673,-1.172810031,0.513495404,0.423079231,0.865557475,0.548781377,1.649872525,-0.039031072,-0.215527485,2.30410926,1.15E-09,7.49E-09,-0.828048169,0.047450387,0.114371688,1,2.30410926,1.15E-09,7.49E-09,-0.828048169,0.047450387,0.114371688,0,disease resistance protein RGA5-like,LOC4350708
LOC9266864,138.9021354,99.21408367,144.6555205,276.1421039,284.0336677,350.5170601,368.0180224,457.8685425,216.647019,170.6680162,-0.957352,-1.297311843,-0.908069663,0.218217879,0.285815422,0.855298748,1.005208459,1.774849885,-0.291405013,-0.685251874,1.243362594,1.34E-09,8.67E-09,-1.095865932,2.09E-05,1.35E-04,1,1.243362594,1.34E-09,8.67E-09,-1.095865932,2.09E-05,1.35E-04,Os09g0479900,subtilisin-like protease SBT5.3%2C transcript variant X1,LOC9266864
